holdingId,name,lei,title,cusip,isin,ticker,balance,units,curCd,valUSD,pctVal,payoffProfile,assetCat,issuerCat,invCountry,isRestrictedSec,fairValLevel,isCashCollateral,isNonCashCollateral,isLoanByFund
AAL,American Airlines Group Inc,IWUQB36BXD6OWD6X4T14,American Airlines Group Inc,02376R102,US02376R1023,AAL,1230,NS,USD,19778.4,1.40,Long,EC,CORP,US,N,1,N,N,N
AER,AerCap Holdings NV,549300SZYINBBLJQU475,AerCap Holdings NV,N/A,NL0000687663,AER,200,NS,USD,29370,2.09,Long,EC,CORP,IE,N,1,N,N,N
AIR,AAR Corp,MP76T5YQX3YK5VVAQ802,AAR Corp,000361105,US0003611052,AIR,100,NS,USD,13428,0.95,Long,EC,CORP,US,N,1,N,N,N
ALGT,Allegiant Travel Co,549300JM9OZXOHWL2K18,Allegiant Travel Co,01748X102,US01748X1028,ALGT,80,NS,USD,8174.4,0.58,Long,EC,CORP,US,N,1,N,N,N
ALK,Alaska Air Group Inc,529900G48RT4KWLC6C27,Alaska Air Group Inc,011659109,US0116591092,ALK,270,NS,USD,13176,0.94,Long,EC,CORP,US,N,1,N,N,N
ASR,Grupo Aeroportuario del Surest,5299001W7JIDXCUOUC82,Grupo Aeroportuario del Sureste SAB de CV,40051E202,US40051E2028,ASR,60,NS,USD,18014.4,1.28,Long,EC,CORP,MX,N,1,N,N,N
ATI,ATI Inc,ZW1LRE7C3H17O2ZN9B45,ATI Inc,01741R102,US01741R1023,ATI,170,NS,USD,34695.3,2.46,Long,EC,CORP,US,N,1,N,N,N
BA,Boeing Co/The,RVHJWBXLJ1RFUBSY1F30,Boeing Co/The,097023105,US0970231058,BA,260,NS,USD,57415.8,4.08,Long,EC,CORP,US,N,1,N,N,N
CAE,CAE Inc,549300FFM2BEH2GF1E44,CAE Inc,124765108,CA1247651088,CAE,460,NS,USD,11467.8,0.81,Long,EC,CORP,CA,N,1,N,N,N
CPA,Copa Holdings SA,529900BB9UQJV6QQHA59,Copa Holdings SA,N/A,PAP310761054,CPA,80,NS,USD,12239.2,0.87,Long,EC,CORP,PA,N,1,N,N,N
CRS,Carpenter Technology Corp,DX6I6ZD3X5WNNCDJKP85,Carpenter Technology Corp,144285103,US1442851036,CRS,60,NS,USD,35266.2,2.50,Long,EC,CORP,US,N,1,N,N,N
DAL,Delta Air Lines Inc,Q2CCMS6R0AS67HJMBN42,Delta Air Lines Inc,247361702,US2473617023,DAL,600,NS,USD,51552,3.66,Long,EC,CORP,US,N,1,N,N,N
DCO,Ducommun Inc,549300Z71HMWF90S2214,Ducommun Inc,264147109,US2641471097,DCO,50,NS,USD,8245,0.59,Long,EC,CORP,US,N,1,N,N,N
EMBJ,Embraer SA,549300EM51WYXFHUY333,Embraer SA,29082A107,US29082A1079,EMBJ,290,NS,USD,17678.4,1.26,Long,EC,CORP,BR,N,1,N,N,N
FDX,FedEx Corp,549300E707U7WNPZN687,FedEx Corp,31428X106,US31428X1063,FDX,150,NS,USD,49317,3.50,Long,EC,CORP,US,N,1,N,N,N
FDXF,Fedex Freight Holding Co Inc,984500Y1DA5A58ICE336,Fedex Freight Holding Co Inc,314352105,US3143521058,FDXF,75,NS,USD,12070.5,0.86,Long,EC,CORP,US,N,1,N,N,N
FGXXX,First American Government Obli,549300R5MYM6VZF1RM44,First American Government Obligations Fund,31846V336,US31846V3362,FGXXX,43839.6,NS,USD,43839.6,3.11,Long,STIV,RF,US,N,1,N,N,N
FTAI,FTAI Aviation Ltd,N/A,FTAI Aviation Ltd,N/A,KYG3730V1059,FTAI,130,NS,USD,35366.5,2.51,Long,EC,CORP,US,N,1,N,N,N
GD,General Dynamics Corp,9C1X8XOOTYY2FNYTVH06,General Dynamics Corp,369550108,US3695501086,GD,200,NS,USD,68672,4.88,Long,EC,CORP,US,N,1,N,N,N
GE,GE AEROSPACE,3C7474T6CDKPR9K6YT90,GE AEROSPACE,369604301,US3696043013,GE,440,NS,USD,156252.8,11.10,Long,EC,CORP,US,N,1,N,N,N
HEI,HEICO Corp,529900O1DTDLCJ7L0I14,HEICO Corp,422806109,US4228061093,HEI,70,NS,USD,23180.5,1.65,Long,EC,CORP,US,N,1,N,N,N
HWM,Howmet Aerospace Inc,549300HO5WFZUT5N2T22,Howmet Aerospace Inc,443201108,US4432011082,HWM,260,NS,USD,72893.6,5.18,Long,EC,CORP,US,N,1,N,N,N
HXL,Hexcel Corp,S6Q7LW43WUBUHXY2QP69,Hexcel Corp,428291108,US4282911084,HXL,160,NS,USD,15865.6,1.13,Long,EC,CORP,US,N,1,N,N,N
JBLU,JetBlue Airways Corp,54930070J9H97ZO93T57,JetBlue Airways Corp,477143101,US4771431016,JBLU,1220,NS,USD,6697.8,0.48,Long,EC,CORP,US,N,1,N,N,N
JOBY,Joby Aviation Inc,254900NMVFUM8FO88E56,Joby Aviation Inc,N/A,KYG651631007,JOBY,1470,NS,USD,14494.2,1.03,Long,EC,CORP,US,N,1,N,N,N
LMT,Lockheed Martin Corp,DPRBOZP0K5RM2YE8UU08,Lockheed Martin Corp,539830109,US5398301094,LMT,120,NS,USD,59232,4.21,Long,EC,CORP,US,N,1,N,N,N
LOAR,Loar Holdings Inc,N/A,Loar Holdings Inc,53947R105,US53947R1059,LOAR,160,NS,USD,11361.6,0.81,Long,EC,CORP,US,N,1,N,N,N
LUV,Southwest Airlines Co,UDTZ87G0STFETI6HGH41,Southwest Airlines Co,844741108,US8447411088,LUV,640,NS,USD,31084.8,2.21,Long,EC,CORP,US,N,1,N,N,N
MOG/A,Moog Inc,549300WM2I4U7OBAHG07,Moog Inc,615394202,US6153942023,MOG/A,50,NS,USD,20165,1.43,Long,EC,CORP,US,N,1,N,N,N
NOC,Northrop Grumman Corp,RIMU48P07456QXSO0R61,Northrop Grumman Corp,666807102,US6668071029,NOC,110,NS,USD,55806.3,3.96,Long,EC,CORP,US,N,1,N,N,N
PAC,Grupo Aeroportuario del Pacifi,4469000001BZ368XFI90,Grupo Aeroportuario del Pacifico SAB de CV,400506101,US4005061019,PAC,80,NS,USD,19913.6,1.41,Long,EC,CORP,MX,N,1,N,N,N
RTX,RTX Corp,I07WOS4YJ0N7YRFE7309,RTX Corp,75513E101,US75513E1010,RTX,660,NS,USD,120007.8,8.52,Long,EC,CORP,US,N,1,N,N,N
