name,lei,title,cusip,isin,ticker,invCountry,assetCat,issuerCat
Apple Inc,N/A,Apple Inc,037833100,,AAPL,US,EC,CORP
Airbnb Inc,549300HMUDNO0RY56D37,Airbnb Inc,009066101,US0090661010,ABNB,US,EC,CORP
Adobe Inc,N/A,Adobe Inc,00724F101,,ADBE,US,EC,CORP
Autodesk Inc,N/A,Autodesk Inc,052769106,,ADSK,US,EC,CORP
Affirm Holdings Inc,N/A,Affirm Holdings Inc,00827B106,,AFRM,US,EC,CORP
Astera Labs Inc,N/A,Astera Labs Inc,04626A103,,ALAB,US,EC,CORP
Applied Materials Inc,N/A,Applied Materials Inc,038222105,,AMAT,US,EC,CORP
Advanced Micro Devices Inc,N/A,Advanced Micro Devices Inc,007903107,,AMD,US,EC,CORP
AppLovin Corp,549300LLVXMUAOL3SQ07,AppLovin Corp,03831W108,US03831W1080,APP,US,EC,CORP
Broadcom Inc,N/A,Broadcom Inc,11135F101,,AVGO,US,EC,CORP
Bridgebio Pharma Inc,N/A,Bridgebio Pharma Inc,10806X102,,BBIO,US,EC,CORP
Bloom Energy Corp,549300XB5J9BFW5JXV97,Bloom Energy Corp,093712107,US0937121079,BE,US,EC,CORP
Clorox Co/The,N/A,Clorox Co/The,189054109,,CLX,US,EC,CORP
Coinbase Global Inc,5493004G3J2SC154DU06,Coinbase Global Inc,19260Q107,US19260Q1076,COIN,US,EC,CORP
Cooper Cos Inc/The,N/A,Cooper Cos Inc/The,216648501,,COO,US,EC,CORP
Salesforce Inc,RCGZFPDMRW58VJ54VR07,Salesforce Inc,79466L302,US79466L3024,CRM,US,EC,CORP
Cisco Systems Inc,N/A,Cisco Systems Inc,17275R102,,CSCO,US,EC,CORP
DoorDash Inc,549300NUQ43FGGSK5051,DoorDash Inc,25809K105,US25809K1051,DASH,US,EC,CORP
eBay Inc,N/A,eBay Inc,278642103,,EBAY,US,EC,CORP
Essex Property Trust Inc,N/A,Essex Property Trust Inc,297178105,,ESS,US,EC,CORP
Fortinet Inc,549300O0QJWDBAS0QX03,Fortinet Inc,34959E109,US34959E1091,FTNT,US,EC,CORP
Gilead Sciences Inc,N/A,Gilead Sciences Inc,375558103,,GILD,US,EC,CORP
Alphabet Inc,N/A,Alphabet Inc,02079K305,,GOOGL,US,EC,CORP
