name,lei,title,cusip,isin,ticker,invCountry,assetCat,issuerCat
Applied Digital Corp,N/A,Applied Digital Corp,038169207,,APLD,US,EC,CORP
Bakkt Inc,N/A,Bakkt Inc,05759B305,,BKKT,US,EC,CORP
Bullish,N/A,Bullish,N/A,,BLSH,KY,EC,CORP
BitMine Immersion Technologies,N/A,BitMine Immersion Technologies Inc,09175A206,,BMNR,US,EC,CORP
Bit Digital Inc,N/A,Bit Digital Inc,N/A,,BTBT,KY,EC,CORP
Bitdeer Technologies Group,N/A,Bitdeer Technologies Group,N/A,,BTDR,KY,EC,CORP
Bitgo Holdings Inc,N/A,Bitgo Holdings Inc,091947101,,BTGO,US,EC,CORP
Cango Inc/KY,N/A,Cango Inc/KY,N/A,,CANG,KY,EC,CORP
Cboe Global Markets Inc,N/A,Cboe Global Markets Inc,12503M108,,CBOE,US,EC,CORP
Cipher Digital Inc,N/A,Cipher Digital Inc,17253J106,,CIFR,US,EC,CORP
Cleanspark Inc,N/A,Cleanspark Inc,18452B209,,CLSK,US,EC,CORP
CME Group Inc,N/A,CME Group Inc,12572Q105,,CME,US,EC,CORP
Coincheck Group NV,N/A,Coincheck Group NV,N/A,,CNCK,US,EC,CORP
Coinbase Global Inc,5493004G3J2SC154DU06,Coinbase Global Inc,19260Q107,US19260Q1076,COIN,US,EC,CORP
Core Scientific Inc,N/A,Core Scientific Inc,21874A106,,CORZ,US,EC,CORP
Circle Internet Group Inc,N/A,Circle Internet Group Inc,172573107,,CRCL,US,EC,CORP
CoinShares PLC,N/A,CoinShares PLC,N/A,,CSHR,US,EC,CORP
Etoro Group Ltd,N/A,Etoro Group Ltd,N/A,,ETOR,US,EC,CORP
Figure Technology Solutions In,N/A,Figure Technology Solutions Inc,349381103,,FIGR,US,EC,CORP
BitFuFu Inc,N/A,BitFuFu Inc,N/A,,FUFU,US,EC,CORP
Gemini Space Station Inc,N/A,Gemini Space Station Inc,36866J105,,GEMI,US,EC,CORP
Galaxy Digital Inc,N/A,Galaxy Digital Inc,36317J209,,GLXY,US,EC,CORP
GPGI Inc,N/A,GPGI Inc,20459V105,,GPGI,US,EC,CORP
Hive Digital Technologies Ltd,N/A,Hive Digital Technologies Ltd,433921103,,HIVE,US,EC,CORP
Robinhood Markets Inc,213800FS5AO3YWIE6F63,Robinhood Markets Inc,770700102,US7707001027,HOOD,US,EC,CORP
HUT 8 CORP,N/A,HUT 8 CORP,44812J104,,HUT,US,EC,CORP
IREN Ltd,N/A,IREN Ltd,N/A,,IREN,US,EC,CORP
MARA Holdings Inc,N/A,MARA Holdings Inc,565788106,,MARA,US,EC,CORP
PayPal Holdings Inc,N/A,PayPal Holdings Inc,70450Y103,,PYPL,US,EC,CORP
Riot Platforms Inc,N/A,Riot Platforms Inc,767292105,,RIOT,US,EC,CORP
Soluna Holdings Inc,N/A,Soluna Holdings Inc,583543301,,SLNH,US,EC,CORP
Terawulf Inc,N/A,Terawulf Inc,88080T104,,WULF,US,EC,CORP
Block Inc,549300OHIIUWSTIZME52,Block Inc,852234103,US8522341036,XYZ,US,EC,CORP
First American Government Obli,549300R5MYM6VZF1RM44,First American Government Obligations Fund,31846V336,US31846V3362,FGXXX,US,STIV,RF
