holdingId,name,lei,title,cusip,isin,ticker,balance,units,curCd,valUSD,pctVal,payoffProfile,assetCat,issuerCat,invCountry,isRestrictedSec,fairValLevel,isCashCollateral,isNonCashCollateral,isLoanByFund
ACHR,Archer Aviation Inc,529900UGYVU0KY2RLD83,Archer Aviation Inc,03945R102,US03945R1023,ACHR,35070,NS,USD,190430.1,4.33,Long,EC,CORP,US,N,1,N,N,N
AIRO,AIRO Group Holdings Inc,529900EUD8XWJZVS2615,AIRO Group Holdings Inc,009422106,US0094221068,AIRO,16695,NS,USD,128384.55,2.92,Long,EC,CORP,US,N,1,N,N,N
AMPX,Amprius Technologies Inc,N/A,Amprius Technologies Inc,03214Q108,US03214Q1085,AMPX,8820,NS,USD,138033,3.14,Long,EC,CORP,US,N,1,N,N,N
AVAV,AeroVironment Inc,529900PGHVI29YLZ6221,AeroVironment Inc,008073108,US0080731088,AVAV,1085,NS,USD,164193.05,3.73,Long,EC,CORP,US,N,1,N,N,N
AXON,Axon Enterprise Inc,549300QP2IEEGFE16681,Axon Enterprise Inc,05464C101,US05464C1018,AXON,70,NS,USD,28702.1,0.65,Long,EC,CORP,US,N,1,N,N,N
BA,Boeing Co/The,RVHJWBXLJ1RFUBSY1F30,Boeing Co/The,097023105,US0970231058,BA,700,NS,USD,154581,3.52,Long,EC,CORP,US,N,1,N,N,N
BETA,Beta Technologies Inc,52990061LF435PLC7H73,Beta Technologies Inc,086921103,US0869211039,BETA,10045,NS,USD,158007.85,3.59,Long,EC,CORP,US,N,1,N,N,N
DPRO,Draganfly Inc,894500SZMK5WX44WHE32,Draganfly Inc,26142Q304,CA26142Q3044,DPRO,22680,NS,USD,125193.6,2.85,Long,EC,CORP,CA,N,1,N,N,N
EH,EHang Holdings Ltd,529900RPWTHQC2WF6O10,EHang Holdings Ltd,26853E102,US26853E1029,EH,15505,NS,USD,106054.2,2.41,Long,EC,CORP,CN,N,1,N,N,N
EVEX,Eve Holding Inc,N/A,Eve Holding Inc,29970N104,US29970N1046,EVEX,49630,NS,USD,138964,3.16,Long,EC,CORP,US,N,1,N,N,N
FGXXX,First American Government Obli,549300R5MYM6VZF1RM44,First American Government Obligations Fund,31846V336,US31846V3362,FGXXX,162047.72,NS,USD,162047.72,3.69,Long,STIV,RF,US,N,1,N,N,N
HXL,Hexcel Corp,S6Q7LW43WUBUHXY2QP69,Hexcel Corp,428291108,US4282911084,HXL,2415,NS,USD,239471.4,5.45,Long,EC,CORP,US,N,1,N,N,N
JOBY,Joby Aviation Inc,254900NMVFUM8FO88E56,Joby Aviation Inc,N/A,KYG651631007,JOBY,25340,NS,USD,249852.4,5.68,Long,EC,CORP,US,N,1,N,N,N
KTOS,Kratos Defense & Security Solu,5493000EKBN0UY1F3F88,Kratos Defense & Security Solutions Inc,50077B207,US50077B2079,KTOS,3500,NS,USD,178815,4.07,Long,EC,CORP,US,N,1,N,N,N
LHX,L3Harris Technologies Inc,549300UTE50ZMDBG8A20,L3Harris Technologies Inc,502431109,US5024311095,LHX,245,NS,USD,70028.35,1.59,Long,EC,CORP,US,N,1,N,N,N
LMT,Lockheed Martin Corp,DPRBOZP0K5RM2YE8UU08,Lockheed Martin Corp,539830109,US5398301094,LMT,280,NS,USD,138208,3.14,Long,EC,CORP,US,N,1,N,N,N
NOC,Northrop Grumman Corp,RIMU48P07456QXSO0R61,Northrop Grumman Corp,666807102,US6668071029,NOC,700,NS,USD,355131,8.08,Long,EC,CORP,US,N,1,N,N,N
ONDS,Ondas Inc,549300JWLHDUB82V8607,Ondas Inc,68236H204,US68236H2040,ONDS,19775,NS,USD,175799.75,4.00,Long,EC,CORP,US,N,1,N,N,N
OUST,Ouster Inc,N/A,Ouster Inc,68989M202,US68989M2026,OUST,5950,NS,USD,283696,6.45,Long,EC,CORP,US,N,1,N,N,N
RCAT,Red Cat Holdings Inc,5493005OGSQW28V2PY05,Red Cat Holdings Inc,75644T100,US75644T1007,RCAT,14770,NS,USD,157005.1,3.57,Long,EC,CORP,PR,N,1,N,N,N
RTX,RTX Corp,I07WOS4YJ0N7YRFE7309,RTX Corp,75513E101,US75513E1010,RTX,1225,NS,USD,222741.75,5.07,Long,EC,CORP,US,N,1,N,N,N
SWMR,Swarmer Inc,52990026V7Z2CE1RXC85,Swarmer Inc,86989Y109,US86989Y1091,SWMR,3360,NS,USD,151670.4,3.45,Long,EC,CORP,US,N,1,N,N,N
TDY,Teledyne Technologies Inc,549300VSMO9KYQWDND94,Teledyne Technologies Inc,879360105,US8793601050,TDY,455,NS,USD,280575.75,6.38,Long,EC,CORP,US,N,1,N,N,N
TRMB,Trimble Inc,549300E2MI7NSZFQWS19,Trimble Inc,896239100,US8962391004,TRMB,140,NS,USD,6892.2,0.16,Long,EC,CORP,US,N,1,N,N,N
TXT,Textron Inc,3PPKBHUG1HD6BO7RNR87,Textron Inc,883203101,US8832031012,TXT,105,NS,USD,9128.7,0.21,Long,EC,CORP,US,N,1,N,N,N
UMAC,Unusual Machines Inc /US,N/A,Unusual Machines Inc /US,91532F102,US91532F1021,UMAC,10395,NS,USD,234615.15,5.34,Long,EC,CORP,US,N,1,N,N,N
VTOL,Bristow Group Inc,5493005Q24EN3UC1PV68,Bristow Group Inc,11040G103,US11040G1031,VTOL,3500,NS,USD,148435,3.38,Long,EC,CORP,US,N,1,N,N,N
