holdingId,name,lei,title,cusip,isin,ticker,balance,units,curCd,valUSD,pctVal,payoffProfile,assetCat,issuerCat,invCountry,isRestrictedSec,fairValLevel,isCashCollateral,isNonCashCollateral,isLoanByFund
00081TAK4,ACCO Brands Corp 4.25% 03/15/2,JCT8P4Y190IH4I1NX328,ACCO Brands Corp 4.25% 03/15/2029,00081TAK4,US00081TAK43,,31000,PA,USD,28656.04,0.52,Long,DBT,CORP,US,N,2,N,N,N
00109LAA1,ADT Security Corp/The 4.125% 0,5493009JEEDYLVRA0J13,ADT Security Corp/The 4.125% 08/01/2029,00109LAA1,US00109LAA17,,27000,PA,USD,25835.94,0.47,Long,DBT,CORP,US,N,2,N,N,N
00253XAB7,American Airlines Inc/AAdvanta,N/A,American Airlines Inc/AAdvantage Loyalty IP Ltd 5.75% 04/20/2029,00253XAB7,US00253XAB73,,26000,PA,USD,26032.06,0.47,Long,DBT,CORP,US,N,2,N,N,N
00489LAL7,Acrisure LLC / Acrisure Financ,N/A,Acrisure LLC / Acrisure Finance Inc 7.5% 11/06/2030,00489LAL7,US00489LAL71,,27000,PA,USD,26143.82,0.47,Long,DBT,CORP,US,N,2,N,N,N
00653VAA9,Adapthealth LLC 6.125% 08/01/2,N/A,Adapthealth LLC 6.125% 08/01/2028,00653VAA9,US00653VAA98,,29000,PA,USD,29006.49,0.53,Long,DBT,CORP,US,N,2,N,N,N
00751YAE6,Advance Auto Parts Inc 3.9% 04,529900UCNQ5H9FSL0Y70,Advance Auto Parts Inc 3.9% 04/15/2030,00751YAE6,US00751YAE68,,32000,PA,USD,30005.74,0.54,Long,DBT,CORP,US,N,2,N,N,N
013092AG6,Albertsons Cos Inc / Safeway I,N/A,Albertsons Cos Inc / Safeway Inc / New Albertsons LP / Albertsons LLC 3.5% 03/15/2029,013092AG6,US013092AG61,,26000,PA,USD,24772.11,0.45,Long,DBT,CORP,US,N,2,N,N,N
01330AAA4,Albion Financing 1 SARL / Aggr,N/A,Albion Financing 1 SARL / Aggreko Holdings Inc 7% 05/21/2030,01330AAA4,US01330AAA43,,29000,PA,USD,29965.53,0.54,Long,DBT,CORP,LU,N,2,N,N,N
01883LAE3,Alliant Holdings Intermediate ,N/A,Alliant Holdings Intermediate LLC / Alliant Holdings Co-Issuer 6.75% 04/15/2028,01883LAE3,US01883LAE39,,30000,PA,USD,30261.3,0.55,Long,DBT,CORP,US,N,2,N,N,N
019576AD9,Allied Universal Holdco LLC 7.,98450038B4549046D794,Allied Universal Holdco LLC 7.875% 02/15/2031,019576AD9,US019576AD90,,28000,PA,USD,29273.08,0.53,Long,DBT,CORP,US,N,2,N,N,N
031921AC3,AmWINS Group Inc 6.375% 02/15/,549300SJE7MUB8NMRG61,AmWINS Group Inc 6.375% 02/15/2029,031921AC3,US031921AC31,,29000,PA,USD,29237.66,0.53,Long,DBT,CORP,US,N,2,N,N,N
03772CAA1,APLD ComputeCo 2 LLC 6.75% 03/,N/A,APLD ComputeCo 2 LLC 6.75% 03/15/2031,03772CAA1,US03772CAA18,,30000,PA,USD,30312.57,0.55,Long,DBT,CORP,US,N,2,N,N,N
039853AA4,Ardonagh Finco Ltd 7.75% 02/15,254900D2T84O1K03BA28,Ardonagh Finco Ltd 7.75% 02/15/2031,039853AA4,US039853AA46,,22000,PA,USD,22315.81,0.41,Long,DBT,CORP,GB,N,2,N,N,N
039959AA9,Ardagh Group SA 9.5% 12/01/203,6354006L1NWUUOPYX274,Ardagh Group SA 9.5% 12/01/2030,039959AA9,US039959AA98,,22000,PA,USD,23560.37,0.43,Long,DBT,CORP,LU,N,2,N,N,N
04288BAB6,Arsenal AIC Parent LLC 8% 10/0,254900G9F9HA5EP57J39,Arsenal AIC Parent LLC 8% 10/01/2030,04288BAB6,US04288BAB62,,29000,PA,USD,30279.51,0.55,Long,DBT,CORP,US,N,2,N,N,N
045086AP0,Ashton Woods USA LLC / Ashton ,N/A,Ashton Woods USA LLC / Ashton Woods Finance Co 4.625% 04/01/2030,045086AP0,US045086AP03,,32000,PA,USD,30353.39,0.55,Long,DBT,CORP,US,N,2,N,N,N
05352TAA7,Avantor Funding Inc 4.625% 07/,5493003VM0XB4U8YD238,Avantor Funding Inc 4.625% 07/15/2028,05352TAA7,US05352TAA79,,24000,PA,USD,23742.35,0.43,Long,DBT,CORP,US,N,2,N,N,N
058498AW6,Ball Corp 2.875% 08/15/2030,0BGI85ALH27ZJP15DY16,Ball Corp 2.875% 08/15/2030,058498AW6,US058498AW66,,33000,PA,USD,29994.58,0.54,Long,DBT,CORP,US,N,2,N,N,N
060335AB2,Banijay Entertainment SAS 8.12,969500CE0IE2EZ5VBG13,Banijay Entertainment SAS 8.125% 05/01/2029,060335AB2,US060335AB23,,28000,PA,USD,28907.56,0.52,Long,DBT,CORP,FR,N,2,N,N,N
07831CAA1,BellRing Brands Inc 7% 03/15/2,549300S3BOK5CMTS8054,BellRing Brands Inc 7% 03/15/2030,07831CAA1,US07831CAA18,,29000,PA,USD,28758.24,0.52,Long,DBT,CORP,US,N,2,N,N,N
080782AA3,Belron UK Finance PLC 5.75% 10,9845006BC9D1A77B8178,Belron UK Finance PLC 5.75% 10/15/2029,080782AA3,US080782AA38,,30000,PA,USD,30151.23,0.55,Long,DBT,CORP,GB,N,2,N,N,N
09216NAA8,Black Pearl Compute LLC 6.125%,N/A,Black Pearl Compute LLC 6.125% 02/15/2031,09216NAA8,US09216NAA81,,29000,PA,USD,29426.73,0.53,Long,DBT,CORP,US,N,2,N,N,N
097751CA7,Bombardier Inc 8.75% 11/15/203,W7L3VLU8EHQY34Z36697,Bombardier Inc 8.75% 11/15/2030,097751CA7,US097751CA78,,26000,PA,USD,27582.31,0.50,Long,DBT,CORP,CA,N,2,N,N,N
10637BAA3,Breakwater Energy Holdings Sar,984500969HAFA937F390,Breakwater Energy Holdings Sarl 9.25% 11/15/2030,10637BAA3,US10637BAA35,,29000,PA,USD,30692.67,0.56,Long,DBT,CORP,LU,N,2,N,N,N
