name,lei,title,cusip,isin,ticker,invCountry,assetCat,issuerCat
ACCO Brands Corp 4.25% 03/15/2,N/A,ACCO Brands Corp 4.25% 03/15/2029,00081TAK4,,00081TAK4,US,EC,CORP
ADT Security Corp/The 4.125% 0,N/A,ADT Security Corp/The 4.125% 08/01/2029,00109LAA1,,00109LAA1,US,EC,CORP
American Airlines Inc/AAdvanta,N/A,American Airlines Inc/AAdvantage Loyalty IP Ltd 5.75% 04/20/2029,00253XAB7,,00253XAB7,US,EC,CORP
Acrisure LLC / Acrisure Financ,N/A,Acrisure LLC / Acrisure Finance Inc 7.5% 11/06/2030,00489LAL7,,00489LAL7,US,EC,CORP
Adapthealth LLC 6.125% 08/01/2,N/A,Adapthealth LLC 6.125% 08/01/2028,00653VAA9,,00653VAA9,US,EC,CORP
Advance Auto Parts Inc 3.9% 04,N/A,Advance Auto Parts Inc 3.9% 04/15/2030,00751YAE6,,00751YAE6,US,EC,CORP
Albertsons Cos Inc / Safeway I,N/A,Albertsons Cos Inc / Safeway Inc / New Albertsons LP / Albertsons LLC 3.5% 03/15/2029,013092AG6,,013092AG6,US,EC,CORP
Albion Financing 1 SARL / Aggr,N/A,Albion Financing 1 SARL / Aggreko Holdings Inc 7% 05/21/2030,01330AAA4,,01330AAA4,US,EC,CORP
Alliant Holdings Intermediate ,N/A,Alliant Holdings Intermediate LLC / Alliant Holdings Co-Issuer 6.75% 04/15/2028,01883LAE3,,01883LAE3,US,EC,CORP
Allied Universal Holdco LLC 7.,N/A,Allied Universal Holdco LLC 7.875% 02/15/2031,019576AD9,,019576AD9,US,EC,CORP
AmWINS Group Inc 6.375% 02/15/,N/A,AmWINS Group Inc 6.375% 02/15/2029,031921AC3,,031921AC3,US,EC,CORP
APLD ComputeCo 2 LLC 6.75% 03/,N/A,APLD ComputeCo 2 LLC 6.75% 03/15/2031,03772CAA1,,03772CAA1,US,EC,CORP
Ardonagh Finco Ltd 7.75% 02/15,N/A,Ardonagh Finco Ltd 7.75% 02/15/2031,039853AA4,,039853AA4,US,EC,CORP
Ardagh Group SA 9.5% 12/01/203,N/A,Ardagh Group SA 9.5% 12/01/2030,039959AA9,,039959AA9,US,EC,CORP
Arsenal AIC Parent LLC 8% 10/0,N/A,Arsenal AIC Parent LLC 8% 10/01/2030,04288BAB6,,04288BAB6,US,EC,CORP
Ashton Woods USA LLC / Ashton ,N/A,Ashton Woods USA LLC / Ashton Woods Finance Co 4.625% 04/01/2030,045086AP0,,045086AP0,US,EC,CORP
Avantor Funding Inc 4.625% 07/,N/A,Avantor Funding Inc 4.625% 07/15/2028,05352TAA7,,05352TAA7,US,EC,CORP
Ball Corp 2.875% 08/15/2030,N/A,Ball Corp 2.875% 08/15/2030,058498AW6,,058498AW6,US,EC,CORP
Banijay Entertainment SAS 8.12,N/A,Banijay Entertainment SAS 8.125% 05/01/2029,060335AB2,,060335AB2,US,EC,CORP
BellRing Brands Inc 7% 03/15/2,N/A,BellRing Brands Inc 7% 03/15/2030,07831CAA1,,07831CAA1,US,EC,CORP
Belron UK Finance PLC 5.75% 10,N/A,Belron UK Finance PLC 5.75% 10/15/2029,080782AA3,,080782AA3,US,EC,CORP
Black Pearl Compute LLC 6.125%,N/A,Black Pearl Compute LLC 6.125% 02/15/2031,09216NAA8,,09216NAA8,US,EC,CORP
Bombardier Inc 8.75% 11/15/203,N/A,Bombardier Inc 8.75% 11/15/2030,097751CA7,,097751CA7,US,EC,CORP
Breakwater Energy Holdings Sar,N/A,Breakwater Energy Holdings Sarl 9.25% 11/15/2030,10637BAA3,,10637BAA3,US,EC,CORP
Buckeye Partners LP 4.5% 03/01,N/A,Buckeye Partners LP 4.5% 03/01/2028,118230AU5,,118230AU5,US,EC,CORP
CCO Holdings LLC / CCO Holding,N/A,CCO Holdings LLC / CCO Holdings Capital Corp 5% 02/01/2028,1248EPBX0,,1248EPBX0,US,EC,CORP
CHS/Community Health Systems I,N/A,CHS/Community Health Systems Inc 6% 01/15/2029,12543DBH2,,12543DBH2,US,EC,CORP
CVR Energy Inc 7.5% 02/15/2031,N/A,CVR Energy Inc 7.5% 02/15/2031,12662PAH1,,12662PAH1,US,EC,CORP
CVS Health Corp 7% 03/10/2055,N/A,CVS Health Corp 7% 03/10/2055,126650EH9,,126650EH9,US,EC,CORP
Calumet Specialty Products Par,N/A,Calumet Specialty Products Partners LP / Calumet Finance Corp 9.75% 02/15/2031,131477BA8,,131477BA8,US,EC,CORP
Capstone Borrower Inc 8% 06/15,N/A,Capstone Borrower Inc 8% 06/15/2030,140944AA7,,140944AA7,US,EC,CORP
Carnival Corp Ltd 5.125% 05/01,N/A,Carnival Corp Ltd 5.125% 05/01/2029,143658CB6,,143658CB6,US,EC,CORP
Celanese US Holdings LLC 6.85%,N/A,Celanese US Holdings LLC 6.85% 11/15/2028,15089QAW4,,15089QAW4,US,EC,CORP
Centene Corp 4.625% 12/15/2029,N/A,Centene Corp 4.625% 12/15/2029,15135BAT8,,15135BAT8,US,EC,CORP
Lumen Technologies Inc 6.875% ,N/A,Lumen Technologies Inc 6.875% 01/15/2028,156686AM9,,156686AM9,US,EC,CORP
Cinemark USA Inc 5.25% 07/15/2,N/A,Cinemark USA Inc 5.25% 07/15/2028,172441BF3,,172441BF3,US,EC,CORP
CITGO Petroleum Corp 8.375% 01,N/A,CITGO Petroleum Corp 8.375% 01/15/2029,17302XAN6,,17302XAN6,US,EC,CORP
Clarivate Science Holdings Cor,N/A,Clarivate Science Holdings Corp 4.875% 07/01/2029,18064PAD1,,18064PAD1,US,EC,CORP
Clear Channel Outdoor Holdings,N/A,Clear Channel Outdoor Holdings Inc 7.875% 04/01/2030,18453HAF3,,18453HAF3,US,EC,CORP
Cleveland-Cliffs Inc 6.75% 04/,N/A,Cleveland-Cliffs Inc 6.75% 04/15/2030,185899AN1,,185899AN1,US,EC,CORP
Cloud Software Group Inc 9% 09,N/A,Cloud Software Group Inc 9% 09/30/2029,18912UAA0,,18912UAA0,US,EC,CORP
Clydesdale Acquisition Holding,N/A,Clydesdale Acquisition Holdings Inc 8.75% 04/15/2030,18972EAB1,,18972EAB1,US,EC,CORP
Connect Finco SARL / Connect U,N/A,Connect Finco SARL / Connect US Finco LLC 9% 09/15/2029,20752TAB0,,20752TAB0,US,EC,CORP
Connect Holding II LLC 10.5% 0,N/A,Connect Holding II LLC 10.5% 04/03/2031,20753PAD3,,20753PAD3,US,EC,CORP
Consensus Cloud Solutions Inc ,N/A,Consensus Cloud Solutions Inc 6.5% 10/15/2028,20848VAB1,,20848VAB1,US,EC,CORP
CoreWeave Inc 9.25% 06/01/2030,N/A,CoreWeave Inc 9.25% 06/01/2030,21873SAB4,,21873SAB4,US,EC,CORP
