holdingId,name,lei,title,cusip,isin,ticker,balance,units,curCd,valUSD,pctVal,payoffProfile,assetCat,issuerCat,invCountry,isRestrictedSec,fairValLevel,isCashCollateral,isNonCashCollateral,isLoanByFund
912810FM5,United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 6.25% 05/15/2030,912810FM5,US912810FM54,,2000,PA,USD,2141.02,0.10,Long,DBT,UST,US,N,2,N,N,N
912810FP8,United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 5.375% 02/15/2031,912810FP8,US912810FP85,,5000,PA,USD,5233.98,0.23,Long,DBT,UST,US,N,2,N,N,N
912828YB0,United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 1.625% 08/15/2029,912828YB0,US912828YB05,,21000,PA,USD,19402.03,0.86,Long,DBT,UST,US,N,2,N,N,N
912828YS3,United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 1.75% 11/15/2029,912828YS3,US912828YS30,,16000,PA,USD,14750.62,0.66,Long,DBT,UST,US,N,2,N,N,N
912828Z94,United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 1.5% 02/15/2030,912828Z94,US912828Z948,,27000,PA,USD,24510.94,1.09,Long,DBT,UST,US,N,2,N,N,N
912828ZQ6,United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 0.625% 05/15/2030,912828ZQ6,US912828ZQ64,,36000,PA,USD,31331.25,1.39,Long,DBT,UST,US,N,2,N,N,N
91282CAE1,United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 0.625% 08/15/2030,91282CAE1,US91282CAE12,,48000,PA,USD,41409.37,1.84,Long,DBT,UST,US,N,2,N,N,N
91282CAV3,United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 0.875% 11/15/2030,91282CAV3,US91282CAV37,,50000,PA,USD,43243.16,1.92,Long,DBT,UST,US,N,2,N,N,N
91282CBL4,United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 1.125% 02/15/2031,91282CBL4,US91282CBL46,,48000,PA,USD,41702.81,1.85,Long,DBT,UST,US,N,2,N,N,N
91282CCB5,United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 1.625% 05/15/2031,91282CCB5,US91282CCB54,,48000,PA,USD,42390,1.89,Long,DBT,UST,US,N,2,N,N,N
