name,lei,title,cusip,isin,ticker,invCountry,assetCat,issuerCat
First American Government Obli,549300R5MYM6VZF1RM44,First American Government Obligations Fund,31846V336,US31846V3362,FGXXX,US,STIV,RF
United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 6.25% 05/15/2030,912810FM5,,,US,DBT,UST
United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 5.375% 02/15/2031,912810FP8,,,US,DBT,UST
United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 1.625% 08/15/2029,912828YB0,,,US,DBT,UST
United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 1.75% 11/15/2029,912828YS3,,,US,DBT,UST
United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 1.5% 02/15/2030,912828Z94,,,US,DBT,UST
United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 0.625% 05/15/2030,912828ZQ6,,,US,DBT,UST
United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 0.625% 08/15/2030,91282CAE1,,,US,DBT,UST
United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 0.875% 11/15/2030,91282CAV3,,,US,DBT,UST
United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 1.125% 02/15/2031,91282CBL4,,,US,DBT,UST
United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 1.625% 05/15/2031,91282CCB5,,,US,DBT,UST
United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 1.25% 08/15/2031,91282CCS8,,,US,DBT,UST
United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 1.375% 11/15/2031,91282CDJ7,,,US,DBT,UST
United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 1.875% 02/15/2032,91282CDY4,,,US,DBT,UST
United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 2.875% 05/15/2032,91282CEP2,,,US,DBT,UST
United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 2.75% 05/31/2029,91282CES6,,,US,DBT,UST
United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 3.25% 06/30/2029,91282CEV9,,,US,DBT,UST
United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 2.625% 07/31/2029,91282CFC0,,,US,DBT,UST
United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 2.75% 08/15/2032,91282CFF3,,,US,DBT,UST
United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 3.125% 08/31/2029,91282CFJ5,,,US,DBT,UST
United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 3.875% 09/30/2029,91282CFL0,,,US,DBT,UST
United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 4% 10/31/2029,91282CFT3,,,US,DBT,UST
United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 4.125% 11/15/2032,91282CFV8,,,US,DBT,UST
United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 3.875% 11/30/2029,91282CFY2,,,US,DBT,UST
United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 3.875% 12/31/2029,91282CGB1,,,US,DBT,UST
United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 3.5% 01/31/2030,91282CGJ4,,,US,DBT,UST
United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 3.5% 02/15/2033,91282CGM7,,,US,DBT,UST
United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 4% 02/28/2030,91282CGQ8,,,US,DBT,UST
United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 3.625% 03/31/2030,91282CGS4,,,US,DBT,UST
United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 3.5% 04/30/2030,91282CGZ8,,,US,DBT,UST
United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 3.375% 05/15/2033,91282CHC8,,,US,DBT,UST
United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 3.75% 05/31/2030,91282CHF1,,,US,DBT,UST
United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 3.75% 06/30/2030,91282CHJ3,,,US,DBT,UST
United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 4% 07/31/2030,91282CHR5,,,US,DBT,UST
United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 4.125% 08/31/2030,91282CHW4,,,US,DBT,UST
United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 4.625% 09/30/2030,91282CHZ7,,,US,DBT,UST
United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 4.875% 10/31/2030,91282CJG7,,,US,DBT,UST
United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 4.375% 11/30/2030,91282CJM4,,,US,DBT,UST
United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 3.75% 12/31/2030,91282CJQ5,,,US,DBT,UST
United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 4% 01/31/2031,91282CJX0,,,US,DBT,UST
United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 4.25% 02/28/2031,91282CKC4,,,US,DBT,UST
United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 4.125% 03/31/2031,91282CKF7,,,US,DBT,UST
United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 4.625% 04/30/2031,91282CKN0,,,US,DBT,UST
United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 4.5% 05/31/2029,91282CKT7,,,US,DBT,UST
United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 4.625% 05/31/2031,91282CKU4,,,US,DBT,UST
United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 4.25% 06/30/2031,91282CKW0,,,US,DBT,UST
United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 4.25% 06/30/2029,91282CKX8,,,US,DBT,UST
United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 4% 07/31/2029,91282CLC3,,,US,DBT,UST
United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 4.125% 07/31/2031,91282CLD1,,,US,DBT,UST
United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 3.75% 08/31/2031,91282CLJ8,,,US,DBT,UST
United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 3.625% 08/31/2029,91282CLK5,,,US,DBT,UST
United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 3.625% 09/30/2031,91282CLM1,,,US,DBT,UST
United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 3.5% 09/30/2029,91282CLN9,,,US,DBT,UST
United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 4.125% 10/31/2029,91282CLR0,,,US,DBT,UST
United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 4.125% 10/31/2031,91282CLU3,,,US,DBT,UST
United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 4.125% 11/30/2031,91282CLZ2,,,US,DBT,UST
United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 4.125% 11/30/2029,91282CMA6,,,US,DBT,UST
United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 4.5% 12/31/2031,91282CMC2,,,US,DBT,UST
United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 4.375% 12/31/2029,91282CMD0,,,US,DBT,UST
United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 4.25% 01/31/2030,91282CMG3,,,US,DBT,UST
