name,lei,title,cusip,isin,ticker,invCountry,assetCat,issuerCat
AT&T Inc 1.65% 02/01/2028,N/A,AT&T Inc 1.65% 02/01/2028,00206RKG6,,00206RKG6,US,EC,CORP
Abbott Laboratories 4% 03/15/2,N/A,Abbott Laboratories 4% 03/15/2031,002824BS8,,002824BS8,US,EC,CORP
AbbVie Inc 3.2% 11/21/2029,N/A,AbbVie Inc 3.2% 11/21/2029,00287YBX6,,00287YBX6,US,EC,CORP
Adobe Inc 2.3% 02/01/2030,N/A,Adobe Inc 2.3% 02/01/2030,00724PAD1,,00724PAD1,US,EC,CORP
Alexandria Real Estate Equitie,N/A,Alexandria Real Estate Equities Inc 4.9% 12/15/2030,015271AU3,,015271AU3,US,EC,CORP
Alibaba Group Holding Ltd 3.4%,N/A,Alibaba Group Holding Ltd 3.4% 12/06/2027,01609WAT9,,01609WAT9,US,EC,CORP
Alleghany Corp 3.625% 05/15/20,N/A,Alleghany Corp 3.625% 05/15/2030,017175AE0,,017175AE0,US,EC,CORP
Alphabet Inc 4.1% 02/15/2031,N/A,Alphabet Inc 4.1% 02/15/2031,02079KBK2,,02079KBK2,US,EC,CORP
Altria Group Inc 4.8% 02/14/20,N/A,Altria Group Inc 4.8% 02/14/2029,02209SBD4,,02209SBD4,US,EC,CORP
Amazon.com Inc 4.25% 03/13/203,N/A,Amazon.com Inc 4.25% 03/13/2031,023135DD5,,023135DD5,US,EC,CORP
American Express Co 4.731% 04/,N/A,American Express Co 4.731% 04/25/2029,025816ED7,,025816ED7,US,EC,CORP
American Water Capital Corp 3.,N/A,American Water Capital Corp 3.75% 09/01/2028,03040WAS4,,03040WAS4,US,EC,CORP
Amgen Inc 5.15% 03/02/2028,N/A,Amgen Inc 5.15% 03/02/2028,031162DP2,,031162DP2,US,EC,CORP
Amphenol Corp 4.375% 06/12/202,N/A,Amphenol Corp 4.375% 06/12/2028,032095AT8,,032095AT8,US,EC,CORP
Anheuser-Busch InBev Worldwide,N/A,Anheuser-Busch InBev Worldwide Inc 3.5% 06/01/2030,035240AV2,,035240AV2,US,EC,CORP
Elevance Health Inc 2.55% 03/1,N/A,Elevance Health Inc 2.55% 03/15/2031,036752AP8,,036752AP8,US,EC,CORP
Apple Inc 1.65% 02/08/2031,N/A,Apple Inc 1.65% 02/08/2031,037833ED8,,037833ED8,US,EC,CORP
Ares Capital Corp 2.875% 06/15,N/A,Ares Capital Corp 2.875% 06/15/2028,04010LBB8,,04010LBB8,US,EC,CORP
Ares Capital Corp 5.875% 03/01,N/A,Ares Capital Corp 5.875% 03/01/2029,04010LBF9,,04010LBF9,US,EC,CORP
Astrazeneca Finance LLC 4.875%,N/A,Astrazeneca Finance LLC 4.875% 03/03/2028,04636NAF0,,04636NAF0,US,EC,CORP
Augusta SpinCo Corp 4.656% 03/,N/A,Augusta SpinCo Corp 4.656% 03/23/2031,051473AD8,,051473AD8,US,EC,CORP
Avangrid Inc 3.8% 06/01/2029,N/A,Avangrid Inc 3.8% 06/01/2029,05351WAB9,,05351WAB9,US,EC,CORP
BAT Capital Corp 6.343% 08/02/,N/A,BAT Capital Corp 6.343% 08/02/2030,054989AA6,,054989AA6,US,EC,CORP
BGC Group Inc 6.15% 04/02/2030,N/A,BGC Group Inc 6.15% 04/02/2030,05555LAD3,,05555LAD3,US,EC,CORP
Banco Bilbao Vizcaya Argentari,N/A,Banco Bilbao Vizcaya Argentaria SA 4.968% 05/08/2031,05946KAX9,,05946KAX9,US,EC,CORP
Bank of America Corp 3.419% 12,N/A,Bank of America Corp 3.419% 12/20/2028,06051GHD4,,06051GHD4,US,EC,CORP
Bank of America Corp 2.687% 04,N/A,Bank of America Corp 2.687% 04/22/2032,06051GJT7,,06051GJT7,US,EC,CORP
Bank of Montreal 5.203% 02/01/,N/A,Bank of Montreal 5.203% 02/01/2028,06368LGV2,,06368LGV2,US,EC,CORP
Bank of New York Mellon Corp/T,N/A,Bank of New York Mellon Corp/The 4.942% 02/11/2031,06406RCB1,,06406RCB1,US,EC,CORP
Bank of Nova Scotia/The 5.13% ,N/A,Bank of Nova Scotia/The 5.13% 02/14/2031,06418GAQ0,,06418GAQ0,US,EC,CORP
Barclays PLC 5.367% 02/25/2031,N/A,Barclays PLC 5.367% 02/25/2031,06738ECY9,,06738ECY9,US,EC,CORP
Blackrock Inc 2.4% 04/30/2030,N/A,Blackrock Inc 2.4% 04/30/2030,09247XAQ4,,09247XAQ4,US,EC,CORP
Blackstone Private Credit Fund,N/A,Blackstone Private Credit Fund 5.95% 05/15/2031,09261HCC9,,09261HCC9,US,EC,CORP
Blackstone Secured Lending Fun,N/A,Blackstone Secured Lending Fund 5.35% 04/13/2028,09261XAJ1,,09261XAJ1,US,EC,CORP
Boeing Co/The 5.15% 05/01/2030,N/A,Boeing Co/The 5.15% 05/01/2030,097023CY9,,097023CY9,US,EC,CORP
Boston Properties LP 3.25% 01/,N/A,Boston Properties LP 3.25% 01/30/2031,10112RBD5,,10112RBD5,US,EC,CORP
BP Capital Markets America Inc,N/A,BP Capital Markets America Inc 4.234% 11/06/2028,10373QAE0,,10373QAE0,US,EC,CORP
British Telecommunications PLC,N/A,British Telecommunications PLC 9.625% 12/15/2030,111021AE1,,111021AE1,US,EC,CORP
Brixmor Operating Partnership ,N/A,Brixmor Operating Partnership LP 4.125% 05/15/2029,11120VAH6,,11120VAH6,US,EC,CORP
Broadcom Inc 4.35% 02/15/2030,N/A,Broadcom Inc 4.35% 02/15/2030,11135FCB5,,11135FCB5,US,EC,CORP
