holdingId,name,lei,title,cusip,isin,ticker,balance,units,curCd,valUSD,pctVal,payoffProfile,assetCat,issuerCat,invCountry,isRestrictedSec,fairValLevel,isCashCollateral,isNonCashCollateral,isLoanByFund,issuerConditionalDesc,otherDesc,otherValue
02079K305-TRS-05/31/27-L-CANT,N/A,N/A,ALPHABET INC.-SWAP-CANT-L,N/A,,02079K305-TRS-05/31/27-L-CANT,1,NC,USD,729782.16,9.53,N/A,DE,OTHER,US,N,2,N,N,N,N/A,USER DEFINED,02079K305-TRS-05/31/27-L-CANT
023135106-TRS-05/31/27-L-CANT,N/A,N/A,"AMAZON.COM, INC.-SWAP-CANT-L",N/A,,023135106-TRS-05/31/27-L-CANT,1,NC,USD,408080.87,5.33,N/A,DE,OTHER,US,N,2,N,N,N,N/A,USER DEFINED,023135106-TRS-05/31/27-L-CANT
037833100-TRS-05/31/27-L-CANT,N/A,N/A,APPLE INC.-SWAP-CANT-L,N/A,,037833100-TRS-05/31/27-L-CANT,1,NC,USD,764503.74,9.99,N/A,DE,OTHER,US,N,2,N,N,N,N/A,USER DEFINED,037833100-TRS-05/31/27-L-CANT
30303M102-TRS-05/31/27-L-CANT,N/A,N/A,"META PLATFORMS, INC.-SWAP-CANT-L",N/A,,30303M102-TRS-05/31/27-L-CANT,1,NC,USD,237944.7,3.11,N/A,DE,OTHER,US,N,2,N,N,N,N/A,USER DEFINED,30303M102-TRS-05/31/27-L-CANT
594918104-TRS-05/31/27-L-CANT,N/A,N/A,MICROSOFT CORPORATION-SWAP-CANT-L,N/A,,594918104-TRS-05/31/27-L-CANT,1,NC,USD,486358.16,6.35,N/A,DE,OTHER,US,N,2,N,N,N,N/A,USER DEFINED,594918104-TRS-05/31/27-L-CANT
67066G104-TRS-05/31/27-L-CANT,N/A,N/A,NVIDIA CORPORATION-SWAP-CANT-L,N/A,,67066G104-TRS-05/31/27-L-CANT,1,NC,USD,861933.15,11.26,N/A,DE,OTHER,US,N,2,N,N,N,N/A,USER DEFINED,67066G104-TRS-05/31/27-L-CANT
88160R101-TRS-05/31/27-L-CANT,N/A,N/A,"TESLA, INC.-SWAP-CANT-L",N/A,,88160R101-TRS-05/31/27-L-CANT,1,NC,USD,241409.8,3.15,N/A,DE,OTHER,US,N,2,N,N,N,N/A,USER DEFINED,88160R101-TRS-05/31/27-L-CANT
AAPL,Apple Inc,HWUPKR0MPOU8FGXBT394,Apple Inc,037833100,US0378331005,AAPL,2583,NS,USD,767176.83,10.02,Long,EC,CORP,US,N,1,N,N,N,,,
AMZN,Amazon.com Inc,ZXTILKJKG63JELOEG630,Amazon.com Inc,023135106,US0231351067,AMZN,1764,NS,USD,410641.56,5.36,Long,EC,CORP,US,N,1,N,N,N,,,
FGXXX,First American Government Obli,549300R5MYM6VZF1RM44,First American Government Obligations Fund,31846V336,US31846V3362,FGXXX,2968523.43,NS,USD,2968523.43,38.78,Long,STIV,RF,US,N,1,N,N,N,,,
GOOGL,Alphabet Inc,5493006MHB84DD0ZWV18,Alphabet Inc,02079K305,US02079K3059,GOOGL,2090,NS,USD,730831.2,9.55,Long,EC,CORP,US,N,1,N,N,N,,,
META,Meta Platforms Inc,BQ4BKCS1HXDV9HN80Z93,Meta Platforms Inc,30303M102,US30303M1027,META,441,NS,USD,248657.85,3.25,Long,EC,CORP,US,N,1,N,N,N,,,
MSFT,Microsoft Corp,INR2EJN1ERAN0W5ZP974,Microsoft Corp,594918104,US5949181045,MSFT,1323,NS,USD,485990.82,6.35,Long,EC,CORP,US,N,1,N,N,N,,,
NVDA,NVIDIA Corp,549300S4KLFTLO7GSQ80,NVIDIA Corp,67066G104,US67066G1040,NVDA,4106,NS,USD,856716.9,11.19,Long,EC,CORP,US,N,1,N,N,N,,,
TSLA,Tesla Inc,54930043XZGB27CTOV49,Tesla Inc,88160R101,US88160R1014,TSLA,630,NS,USD,255181.5,3.33,Long,EC,CORP,US,N,1,N,N,N,,,
