Account,bbgid,rawTicker,name,lei,title,cusip,isin,ticker,invCountry,assetCat,issuerCat,derivCat,counterpartyName,counterpartyLei,putOrCall,writtenOrPur,exercisePrice,exercisePriceCurCd,expDt,delta,refInstType,refIndexName,refIndexIdentifier,swapFlag,terminationDt,notionalAmt,swapCurCd,unrealizedAppr,valUSD,pctVal,recFixedOrFloating,recDesc,pmntFixedOrFloating,pmntFloatingRtIndex,pmntFloatingRtSpread,pmntPmntAmt,pmntCurCdLeg,pmntRateTenor,pmntRateUnit,refIssuerName,refIssueTitle,refCusip,refIsin,refTicker,maturityDt,couponKind,annualizedRt,isDefault,areIntrstPmntsInArrs,isPaidKind
CMAG,02079K305 Equity,02079K305-TRS-05/31/27-L-CANT,N/A,N/A,ALPHABET INC.-SWAP-CANT-L,02079K305-TRS-05/31/27-L-CANT,,02079K305-TRS-05/31/27-L-CANT,US,DE,OTHER,SWP,Cantor Fitzgerald & Co.,5493004J7H4GCPG6OB62,,,,,,,otherRefInst,,,Y,2027-05-31,729782.16,USD,,729782.16,9.53,Other,Total return of Alphabet Inc,Floating,USD-SOFR,0.17,729782.16,USD,Month,3,Alphabet Inc,ALPHABET INC-CL A,02079K305,US02079K3059,GOOGL,,,,,,
CMAG,023135106 Equity,023135106-TRS-05/31/27-L-CANT,N/A,N/A,"AMAZON.COM, INC.-SWAP-CANT-L",023135106-TRS-05/31/27-L-CANT,,023135106-TRS-05/31/27-L-CANT,US,DE,OTHER,SWP,Cantor Fitzgerald & Co.,5493004J7H4GCPG6OB62,,,,,,,otherRefInst,,,Y,2027-05-31,408080.87,USD,,408080.87,5.33,Other,Total return of Amazon.com Inc,Floating,USD-SOFR,0.90,408080.87,USD,Month,3,Amazon.com Inc,AMAZON.COM INC,023135106,US0231351067,AMZN,,,,,,
CMAG,037833100 Equity,037833100-TRS-05/31/27-L-CANT,N/A,N/A,APPLE INC.-SWAP-CANT-L,037833100-TRS-05/31/27-L-CANT,,037833100-TRS-05/31/27-L-CANT,US,DE,OTHER,SWP,Cantor Fitzgerald & Co.,5493004J7H4GCPG6OB62,,,,,,,otherRefInst,,,Y,2027-05-31,764503.74,USD,,764503.74,9.99,Other,Total return of Apple Inc,Floating,USD-SOFR,0.47,764503.74,USD,Month,3,Apple Inc,APPLE INC,037833100,US0378331005,AAPL,,,,,,
CMAG,30303M102 Equity,30303M102-TRS-05/31/27-L-CANT,N/A,N/A,"META PLATFORMS, INC.-SWAP-CANT-L",30303M102-TRS-05/31/27-L-CANT,,30303M102-TRS-05/31/27-L-CANT,US,DE,OTHER,SWP,Cantor Fitzgerald & Co.,5493004J7H4GCPG6OB62,,,,,,,otherRefInst,,,Y,2027-05-31,237944.70,USD,,237944.7,3.11,Other,Total return of Meta Platforms Inc,Floating,USD-SOFR,0.84,237944.70,USD,Month,3,Meta Platforms Inc,META PLATFORMS INC-CLASS A,30303M102,US30303M1027,META,,,,,,
CMAG,594918104 Equity,594918104-TRS-05/31/27-L-CANT,N/A,N/A,MICROSOFT CORPORATION-SWAP-CANT-L,594918104-TRS-05/31/27-L-CANT,,594918104-TRS-05/31/27-L-CANT,US,DE,OTHER,SWP,Cantor Fitzgerald & Co.,5493004J7H4GCPG6OB62,,,,,,,otherRefInst,,,Y,2027-05-31,486358.16,USD,,486358.16,6.35,Other,Total return of Microsoft Corp,Floating,USD-SOFR,0.89,486358.16,USD,Month,3,Microsoft Corp,MICROSOFT CORP,594918104,US5949181045,MSFT,,,,,,
CMAG,67066G104 Equity,67066G104-TRS-05/31/27-L-CANT,N/A,N/A,NVIDIA CORPORATION-SWAP-CANT-L,67066G104-TRS-05/31/27-L-CANT,,67066G104-TRS-05/31/27-L-CANT,US,DE,OTHER,SWP,Cantor Fitzgerald & Co.,5493004J7H4GCPG6OB62,,,,,,,otherRefInst,,,Y,2027-05-31,861933.15,USD,,861933.15,11.26,Other,Total return of NVIDIA Corp,Floating,USD-SOFR,0.35,861933.15,USD,Month,3,NVIDIA Corp,NVIDIA CORP,67066G104,US67066G1040,NVDA,,,,,,
CMAG,88160R101 Equity,88160R101-TRS-05/31/27-L-CANT,N/A,N/A,"TESLA, INC.-SWAP-CANT-L",88160R101-TRS-05/31/27-L-CANT,,88160R101-TRS-05/31/27-L-CANT,US,DE,OTHER,SWP,Cantor Fitzgerald & Co.,5493004J7H4GCPG6OB62,,,,,,,otherRefInst,,,Y,2027-05-31,241409.80,USD,,241409.8,3.15,Other,Total return of Tesla Inc,Floating,USD-SOFR,0.80,241409.80,USD,Month,3,Tesla Inc,TESLA INC,88160R101,US88160R1014,TSLA,,,,,,
CMAG,AAPL US Equity,AAPL,Apple Inc,HWUPKR0MPOU8FGXBT394,Apple Inc,037833100,US0378331005,AAPL,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMAG,AMZN US Equity,AMZN,Amazon.com Inc,ZXTILKJKG63JELOEG630,Amazon.com Inc,023135106,US0231351067,AMZN,US,EC,CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMAG,FGXXX US Equity,FGXXX,First American Government Obli,549300R5MYM6VZF1RM44,First American Government Obligations Fund,31846V336,US31846V3362,FGXXX,US,STIV,RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
