holdingId,name,lei,title,cusip,isin,ticker,balance,units,curCd,valUSD,pctVal,payoffProfile,assetCat,issuerCat,invCountry,isRestrictedSec,fairValLevel,isCashCollateral,isNonCashCollateral,isLoanByFund
ARQQ,Arqit Quantum Inc,254900G93Z1SN49J9J68,Arqit Quantum Inc,N/A,KYG0567U1278,ARQQ,42824,NS,USD,917290.08,5.51,Long,EC,CORP,GB,N,1,N,N,N
BTQ,BTQ Technologies Corp,9845009I0C867C156D63,BTQ Technologies Corp,055869101,CA0558691014,BTQ,144963,NS,USD,643635.72,3.87,Long,EC,CORP,CA,N,1,N,N,N
FGXXX,First American Government Obli,549300R5MYM6VZF1RM44,First American Government Obligations Fund,31846V336,US31846V3362,FGXXX,157569.23,NS,USD,157569.23,0.95,Long,STIV,RF,US,N,1,N,N,N
FORM,FormFactor Inc,549300YCEEO6SZD1ZR61,FormFactor Inc,346375108,US3463751087,FORM,2626,NS,USD,411389.16,2.47,Long,EC,CORP,US,N,1,N,N,N
GOOGL,Alphabet Inc,5493006MHB84DD0ZWV18,Alphabet Inc,02079K305,US02079K3059,GOOGL,1436,NS,USD,502140.48,3.02,Long,EC,CORP,US,N,1,N,N,N
HON,Honeywell International Inc,ISRPG12PN4EIEOEMW547,Honeywell International Inc,438516106,US4385161066,HON,2929,NS,USD,668134.19,4.02,Long,EC,CORP,US,N,1,N,N,N
HQ,Horizon Quantum Holdings LTD,N/A,Horizon Quantum Holdings LTD,N/A,SGXZ31642911,HQ,54742,NS,USD,2101545.38,12.63,Long,EC,CORP,SG,N,1,N,N,N
IBM,International Business Machine,VGRQXHF3J8VDLUA7XE92,International Business Machines Corp,459200101,US4592001014,IBM,2626,NS,USD,662329.72,3.98,Long,EC,CORP,US,N,1,N,N,N
INFQ,Infleqtion Inc,N/A,Infleqtion Inc,45676K103,US45676K1034,INFQ,46864,NS,USD,665937.44,4.00,Long,EC,CORP,US,N,1,N,N,N
IONQ,IonQ Inc,529900RB2VEFGLQS7G28,IonQ Inc,46222L108,US46222L1089,IONQ,58277,NS,USD,3398714.64,20.43,Long,EC,CORP,US,N,1,N,N,N
LAES,SEALSQ Corp,894500UBT7U7WMV2PG59,SEALSQ Corp,N/A,VGG794831062,LAES,27674,NS,USD,85789.4,0.52,Long,EC,CORP,CH,N,1,N,N,N
QBTS,D-Wave Quantum Inc,5493001U37G4PRD4GW95,D-Wave Quantum Inc,26740W109,US26740W1099,QBTS,134532,NS,USD,3291998.04,19.79,Long,EC,CORP,US,N,1,N,N,N
QNC,Quantum Emotion Corp,984500T1YCBEAFFA0495,Quantum Emotion Corp,74767K103,CA74767K1030,QNC,231088,NS,USD,815740.64,4.90,Long,EC,CORP,CA,N,1,N,N,N
QNT,Quantinuum Inc,529900XVZ9SO3PH40230,Quantinuum Inc,74768A104,US74768A1043,QNT,9002,NS,USD,614566.54,3.69,Long,EC,CORP,US,N,1,N,N,N
QUBT,Quantum Computing Inc,N/A,Quantum Computing Inc,74766W108,US74766W1080,QUBT,69488,NS,USD,732403.52,4.40,Long,EC,CORP,US,N,1,N,N,N
RGTI,Rigetti Computing Inc,52990024JHY459DH8W71,Rigetti Computing Inc,76655K103,US76655K1034,RGTI,26183,NS,USD,559792.54,3.36,Long,EC,CORP,US,N,1,N,N,N
SKYT,SkyWater Technology Inc,N/A,SkyWater Technology Inc,83089J108,US83089J1088,SKYT,4242,NS,USD,158353.86,0.95,Long,EC,CORP,US,N,1,N,N,N
XNDU,Xanadu Quantum Technologies Lt,254900ERDXSXKJDE3515,Xanadu Quantum Technologies Ltd,98390R102,CA98390R1029,XNDU,20099,NS,USD,252041.46,1.51,Long,EC,CORP,CA,N,1,N,N,N
