holdingId,name,lei,title,cusip,isin,ticker,balance,units,curCd,valUSD,pctVal,payoffProfile,assetCat,issuerCat,invCountry,isRestrictedSec,fairValLevel,isCashCollateral,isNonCashCollateral,isLoanByFund
912810FB9,United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 6.125% 11/15/2027,912810FB9,US912810FB99,,24000,PA,USD,24633.75,0.33,Long,DBT,UST,US,N,2,N,N,N
912810FF0,United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 5.25% 11/15/2028,912810FF0,US912810FF04,,24000,PA,USD,24549.37,0.33,Long,DBT,UST,US,N,2,N,N,N
9128282R0,United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 2.25% 08/15/2027,9128282R0,US9128282R06,,63000,PA,USD,61652.64,0.82,Long,DBT,UST,US,N,2,N,N,N
9128283F5,United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 2.25% 11/15/2027,9128283F5,US9128283F58,,63000,PA,USD,61336.41,0.82,Long,DBT,UST,US,N,2,N,N,N
9128283W8,United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 2.75% 02/15/2028,9128283W8,US9128283W81,,90000,PA,USD,87901.17,1.17,Long,DBT,UST,US,N,2,N,N,N
9128284N7,United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 2.875% 05/15/2028,9128284N7,US9128284N73,,90000,PA,USD,87792.19,1.17,Long,DBT,UST,US,N,2,N,N,N
9128284V9,United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 2.875% 08/15/2028,9128284V9,US9128284V99,,90000,PA,USD,87502.15,1.17,Long,DBT,UST,US,N,2,N,N,N
9128285M8,United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 3.125% 11/15/2028,9128285M8,US9128285M81,,90000,PA,USD,87714.84,1.17,Long,DBT,UST,US,N,2,N,N,N
9128286B1,United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 2.625% 02/15/2029,9128286B1,US9128286B18,,90000,PA,USD,86363.09,1.15,Long,DBT,UST,US,N,2,N,N,N
9128286T2,United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 2.375% 05/15/2029,9128286T2,US9128286T26,,84000,PA,USD,79767.19,1.06,Long,DBT,UST,US,N,2,N,N,N
