name,lei,title,cusip,isin,ticker,invCountry,assetCat,issuerCat
First American Government Obli,549300R5MYM6VZF1RM44,First American Government Obligations Fund,31846V336,US31846V3362,FGXXX,US,STIV,RF
United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 6.125% 11/15/2027,912810FB9,,,US,DBT,UST
United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 5.25% 11/15/2028,912810FF0,,,US,DBT,UST
United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 2.25% 08/15/2027,9128282R0,,,US,DBT,UST
United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 2.25% 11/15/2027,9128283F5,,,US,DBT,UST
United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 2.75% 02/15/2028,9128283W8,,,US,DBT,UST
United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 2.875% 05/15/2028,9128284N7,,,US,DBT,UST
United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 2.875% 08/15/2028,9128284V9,,,US,DBT,UST
United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 3.125% 11/15/2028,9128285M8,,,US,DBT,UST
United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 2.625% 02/15/2029,9128286B1,,,US,DBT,UST
United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 2.375% 05/15/2029,9128286T2,,,US,DBT,UST
United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 0.5% 05/31/2027,912828ZS2,,,US,DBT,UST
United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 0.5% 06/30/2027,912828ZV5,,,US,DBT,UST
United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 0.375% 07/31/2027,91282CAD3,,,US,DBT,UST
United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 0.5% 08/31/2027,91282CAH4,,,US,DBT,UST
United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 0.375% 09/30/2027,91282CAL5,,,US,DBT,UST
United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 0.5% 10/31/2027,91282CAU5,,,US,DBT,UST
