holdingId,name,lei,title,cusip,isin,ticker,balance,units,curCd,valUSD,pctVal,payoffProfile,assetCat,issuerCat,invCountry,isRestrictedSec,fairValLevel,isCashCollateral,isNonCashCollateral,isLoanByFund
ASTS,AST SpaceMobile Inc,254900MBSC9P2UCI6623,AST SpaceMobile Inc,00217D100,US00217D1000,ASTS,2240,NS,USD,163945.6,4.58,Long,EC,CORP,US,N,1,N,N,N
BKSY,BlackSky Technology Inc,N/A,BlackSky Technology Inc,09263B207,US09263B2079,BKSY,2464,NS,USD,70322.56,1.97,Long,EC,CORP,US,N,1,N,N,N
BWXT,BWX Technologies Inc,549300NP85N265KWMS58,BWX Technologies Inc,05605H100,US05605H1005,BWXT,504,NS,USD,105840,2.96,Long,EC,CORP,US,N,1,N,N,N
FEIM,Frequency Electronics Inc,549300S56SO2JB5JBE31,Frequency Electronics Inc,358010106,US3580101067,FEIM,1232,NS,USD,85907.36,2.40,Long,EC,CORP,US,N,1,N,N,N
FGXXX,First American Government Obli,549300R5MYM6VZF1RM44,First American Government Obligations Fund,31846V336,US31846V3362,FGXXX,65107.44,NS,USD,65107.44,1.82,Long,STIV,RF,US,N,1,N,N,N
FLY,Firefly Aerospace Inc,529900JPYLDP30163X55,Firefly Aerospace Inc,31816X106,US31816X1063,FLY,3024,NS,USD,87575.04,2.45,Long,EC,CORP,US,N,1,N,N,N
GILT,Gilat Satellite Networks Ltd,529900RVHDCYJ5YWHP12,Gilat Satellite Networks Ltd,N/A,IL0010825102,GILT,5208,NS,USD,65464.56,1.83,Long,EC,CORP,IL,N,1,N,N,N
GOGO,Gogo Inc,549300VL3DIHSFHYTO04,Gogo Inc,38046C109,US38046C1099,GOGO,16128,NS,USD,53383.68,1.49,Long,EC,CORP,US,N,1,N,N,N
GRMN,Garmin Ltd,2549001E0HIPIJQ0W046,Garmin Ltd,N/A,CH0114405324,GRMN,644,NS,USD,152202.96,4.25,Long,EC,CORP,CH,N,1,N,N,N
GSAT,Globalstar Inc,549300NEX8I0MSOW0R64,Globalstar Inc,378973507,US3789735079,GSAT,1540,NS,USD,122907.4,3.43,Long,EC,CORP,US,N,1,N,N,N
IRDM,Iridium Communications Inc,549300U620NVQ4J1CT96,Iridium Communications Inc,46269C102,US46269C1027,IRDM,2940,NS,USD,127302,3.56,Long,EC,CORP,US,N,1,N,N,N
LMT,Lockheed Martin Corp,DPRBOZP0K5RM2YE8UU08,Lockheed Martin Corp,539830109,US5398301094,LMT,784,NS,USD,386982.4,10.81,Long,EC,CORP,US,N,1,N,N,N
LUNR,Intuitive Machines Inc,254900386IE2PEPLVM59,Intuitive Machines Inc,46125A100,US46125A1007,LUNR,4592,NS,USD,100978.08,2.82,Long,EC,CORP,US,N,1,N,N,N
MDA,MDA Space Ltd,984500ND87A4R2K6ED80,MDA Space Ltd,55293N109,CA55293N1096,MDA,3892,NS,USD,153305.88,4.28,Long,EC,CORP,CA,N,1,N,N,N
MRCY,Mercury Systems Inc,549300P3B84SGK7HH679,Mercury Systems Inc,589378108,US5893781089,MRCY,1680,NS,USD,187756.8,5.25,Long,EC,CORP,US,N,1,N,N,N
MTSI,MACOM Technology Solutions Hol,N/A,MACOM Technology Solutions Holdings Inc,55405Y100,US55405Y1001,MTSI,336,NS,USD,133143.36,3.72,Long,EC,CORP,US,N,1,N,N,N
PL,Planet Labs PBC,254900Q7PVI3HTQBRB44,Planet Labs PBC,72703X106,US72703X1063,PL,4480,NS,USD,128889.6,3.60,Long,EC,CORP,US,N,1,N,N,N
RDW,Redwire Corp,5299003GVI811TBDK812,Redwire Corp,75776W103,US75776W1036,RDW,9772,NS,USD,127231.44,3.56,Long,EC,CORP,US,N,1,N,N,N
RKLB,Rocket Lab Corp,254900LNRW7906KUMM93,Rocket Lab Corp,773121108,US7731211089,RKLB,3276,NS,USD,328550.04,9.18,Long,EC,CORP,US,N,1,N,N,N
SATL,Satellogic Inc,5299009D26BMHHTAHA11,Satellogic Inc,80401C100,US80401C1009,SATL,11648,NS,USD,66102.4,1.85,Long,EC,CORP,US,N,1,N,N,N
SATS,EchoStar Corp,549300EE20907QZ9GT38,EchoStar Corp,278768106,,SATS,1456,NS,USD,154918.4,4.33,Long,EC,CORP,US,N,1,N,N,N
SIDU,Sidus Space Inc,N/A,Sidus Space Inc,826165201,US8261652015,SIDU,16128,NS,USD,49996.8,1.40,Long,EC,CORP,US,N,1,N,N,N
SIRI,Sirius XM Holdings Inc,N/A,Sirius XM Holdings Inc,829933100,US8299331004,SIRI,1344,NS,USD,37551.36,1.05,Long,EC,CORP,US,N,1,N,N,N
SPCE,Virgin Galactic Holdings Inc,549300C631IMXCSMN048,Virgin Galactic Holdings Inc,92766K403,US92766K4031,SPCE,22596,NS,USD,72081.24,2.01,Long,EC,CORP,US,N,1,N,N,N
SPIR,Spire Global Inc,549300EZFBLFFHJ5MF06,Spire Global Inc,848560306,US8485603067,SPIR,4032,NS,USD,69632.64,1.95,Long,EC,CORP,US,N,1,N,N,N
TRMB,Trimble Inc,549300E2MI7NSZFQWS19,Trimble Inc,896239100,US8962391004,TRMB,1484,NS,USD,73057.32,2.04,Long,EC,CORP,US,N,1,N,N,N
TSAT,Telesat Corp,N/A,Telesat Corp,879512309,CA8795123097,TSAT,1512,NS,USD,67389.84,1.88,Long,EC,CORP,CA,N,1,N,N,N
VOYG,Voyager Technologies Inc,254900DDCLSP240FE187,Voyager Technologies Inc,92892B103,US92892B1035,VOYG,3220,NS,USD,111315.4,3.11,Long,EC,CORP,US,N,1,N,N,N
VSAT,Viasat Inc,UFC8NYMNFSYIHNSM2I38,Viasat Inc,92552V100,US92552V1008,VSAT,2380,NS,USD,152867.4,4.27,Long,EC,CORP,US,N,1,N,N,N
YSS,York Space Systems Inc,N/A,York Space Systems Inc,987084100,US9870841007,YSS,2548,NS,USD,73790.08,2.06,Long,EC,CORP,US,N,1,N,N,N
