holdingId,name,lei,title,cusip,isin,ticker,balance,units,curCd,valUSD,pctVal,payoffProfile,assetCat,issuerCat,invCountry,isRestrictedSec,fairValLevel,isCashCollateral,isNonCashCollateral,isLoanByFund
ALSN,Allison Transmission Holdings ,529900RP7DJ882LI9T83,Allison Transmission Holdings Inc,01973R101,US01973R1014,ALSN,216,NS,USD,26161.92,1.63,Long,EC,CORP,US,N,1,N,N,N
ARCB,ArcBest Corp,5493006S3KBNE8ZS3J23,ArcBest Corp,03937C105,US03937C1053,ARCB,108,NS,USD,15724.8,0.98,Long,EC,CORP,US,N,1,N,N,N
CHRW,CH Robinson Worldwide Inc,529900WNWN5L0OVDHA79,CH Robinson Worldwide Inc,12541W209,US12541W2098,CHRW,267,NS,USD,49947.69,3.10,Long,EC,CORP,US,N,1,N,N,N
CMI,Cummins Inc,ZUNI8PYC725B6H8JU438,Cummins Inc,231021106,US2310211063,CMI,108,NS,USD,78292.44,4.87,Long,EC,CORP,US,N,1,N,N,N
CMRE,Costamare Inc,5299003L6NPTZ25LN818,Costamare Inc,N/A,MHY1771G1026,CMRE,468,NS,USD,7137,0.44,Long,EC,CORP,MC,N,1,N,N,N
CNI,Canadian National Railway Co,3SU7BEP7TH9YEQOZCS77,Canadian National Railway Co,136375102,CA1363751027,CNI,648,NS,USD,73956.24,4.60,Long,EC,CORP,CA,N,1,N,N,N
CP,Canadian Pacific Kansas City L,N/A,Canadian Pacific Kansas City Ltd,13646K108,CA13646K1084,CP,852,NS,USD,72990.84,4.54,Long,EC,CORP,CA,N,1,N,N,N
CSX,CSX Corp,549300JVQR4N1MMP3Q88,CSX Corp,126408103,US1264081035,CSX,1632,NS,USD,75398.4,4.69,Long,EC,CORP,US,N,1,N,N,N
CVLG,COVENANT TRANS INC - CL A,N/A,COVENANT TRANS INC - CL A,22284P105,US22284P1057,CVLG,180,NS,USD,7799.4,0.48,Long,EC,CORP,US,N,1,N,N,N
DAC,Danaos Corp,734IM3DNDNT36T7YTD24,Danaos Corp,N/A,MHY1968P1218,DAC,72,NS,USD,9172.08,0.57,Long,EC,CORP,GR,N,1,N,N,N
EXPD,Expeditors International of Wa,984500B055A804AB6E40,Expeditors International of Washington Inc,302130109,US3021301094,EXPD,276,NS,USD,45029.4,2.80,Long,EC,CORP,US,N,1,N,N,N
FDX,FedEx Corp,549300E707U7WNPZN687,FedEx Corp,31428X106,US31428X1063,FDX,228,NS,USD,74961.84,4.66,Long,EC,CORP,US,N,1,N,N,N
FDXF,Fedex Freight Holding Co Inc,984500Y1DA5A58ICE336,Fedex Freight Holding Co Inc,314352105,US3143521058,FDXF,114,NS,USD,18347.16,1.14,Long,EC,CORP,US,N,1,N,N,N
FGXXX,First American Government Obli,549300R5MYM6VZF1RM44,First American Government Obligations Fund,31846V336,US31846V3362,FGXXX,42163.35,NS,USD,42163.35,2.62,Long,STIV,RF,US,N,1,N,N,N
FWRD,Forward Air Corp,N/A,Forward Air Corp,34986A104,US34986A1043,FWRD,276,NS,USD,3783.96,0.24,Long,EC,CORP,US,N,1,N,N,N
GATX,GATX Corp,549300IHYHCQP2PIR591,GATX Corp,361448103,US3614481030,GATX,120,NS,USD,21570,1.34,Long,EC,CORP,US,N,1,N,N,N
GSL,Global Ship Lease Inc,254900GLZ0J5N8UZM071,Global Ship Lease Inc,N/A,MHY271836006,GSL,264,NS,USD,10116.48,0.63,Long,EC,CORP,GB,N,1,N,N,N
GXO,GXO Logistics Inc,5493007CNWMXN78JRN66,GXO Logistics Inc,36262G101,US36262G1013,GXO,396,NS,USD,19693.08,1.22,Long,EC,CORP,US,N,1,N,N,N
HTLD,Heartland Express Inc,5299005V45FZIQGLOG39,Heartland Express Inc,422347104,US4223471040,HTLD,810,NS,USD,11882.7,0.74,Long,EC,CORP,US,N,1,N,N,N
HUBG,Hub Group Inc,N/A,Hub Group Inc,443320106,US4433201062,HUBG,300,NS,USD,13194,0.82,Long,EC,CORP,US,N,1,N,N,N
JBHT,JB Hunt Transport Services Inc,549300XCD1MPI1C5GK90,JB Hunt Transport Services Inc,445658107,US4456581077,JBHT,180,NS,USD,49226.4,3.06,Long,EC,CORP,US,N,1,N,N,N
KEX,Kirby Corp,I7NO6FZO5GUCG585T325,Kirby Corp,497266106,US4972661064,KEX,168,NS,USD,23741.76,1.48,Long,EC,CORP,US,N,1,N,N,N
KNX,Knight-Swift Transportation Ho,2549007VHKP3K6E1XF67,Knight-Swift Transportation Holdings Inc,499049104,US4990491049,KNX,552,NS,USD,41620.8,2.59,Long,EC,CORP,US,N,1,N,N,N
LSTR,Landstar System Inc,254900CUQXQRL09MEI52,Landstar System Inc,515098101,US5150981018,LSTR,120,NS,USD,25082.4,1.56,Long,EC,CORP,US,N,1,N,N,N
MANH,Manhattan Associates Inc,529900Q1GJP7KD52SW51,Manhattan Associates Inc,562750109,US5627501092,MANH,180,NS,USD,23178.6,1.44,Long,EC,CORP,US,N,1,N,N,N
