name,lei,title,cusip,isin,ticker,invCountry,assetCat,issuerCat
Allison Transmission Holdings ,N/A,Allison Transmission Holdings Inc,01973R101,,ALSN,US,EC,CORP
ArcBest Corp,N/A,ArcBest Corp,03937C105,,ARCB,US,EC,CORP
CH Robinson Worldwide Inc,N/A,CH Robinson Worldwide Inc,12541W209,,CHRW,US,EC,CORP
CSX Corp,N/A,CSX Corp,126408103,,CSX,US,EC,CORP
Canadian National Railway Co,N/A,Canadian National Railway Co,136375102,,CNI,US,EC,CORP
Canadian Pacific Kansas City L,N/A,Canadian Pacific Kansas City Ltd,13646K108,,CP,US,EC,CORP
COVENANT TRANS INC - CL A,N/A,COVENANT TRANS INC - CL A,22284P105,,CVLG,US,EC,CORP
Cummins Inc,N/A,Cummins Inc,231021106,,CMI,US,EC,CORP
Expeditors International of Wa,N/A,Expeditors International of Washington Inc,302130109,,EXPD,US,EC,CORP
FedEx Corp,N/A,FedEx Corp,31428X106,,FDX,US,EC,CORP
Fedex Freight Holding Co Inc,N/A,Fedex Freight Holding Co Inc,314352105,,FDXF-W,US,EC,CORP
First American Government Obli,549300R5MYM6VZF1RM44,First American Government Obligations Fund,31846V336,US31846V3362,FGXXX,US,STIV,RF
Forward Air Corp,N/A,Forward Air Corp,34986A104,,FWRD,US,EC,CORP
FreightCar America Inc,N/A,FreightCar America Inc,357023100,,RAIL,US,EC,CORP
GATX Corp,N/A,GATX Corp,361448103,,GATX,US,EC,CORP
GXO Logistics Inc,N/A,GXO Logistics Inc,36262G101,,GXO,US,EC,CORP
Heartland Express Inc,N/A,Heartland Express Inc,422347104,,HTLD,US,EC,CORP
Hub Group Inc,N/A,Hub Group Inc,443320106,,HUBG,US,EC,CORP
JB Hunt Transport Services Inc,N/A,JB Hunt Transport Services Inc,445658107,,JBHT,US,EC,CORP
Kirby Corp,N/A,Kirby Corp,497266106,,KEX,US,EC,CORP
Knight-Swift Transportation Ho,N/A,Knight-Swift Transportation Holdings Inc,499049104,,KNX,US,EC,CORP
Landstar System Inc,N/A,Landstar System Inc,515098101,,LSTR,US,EC,CORP
Manhattan Associates Inc,N/A,Manhattan Associates Inc,562750109,,MANH,US,EC,CORP
Marten Transport Ltd,N/A,Marten Transport Ltd,573075108,,MRTN,US,EC,CORP
Matson Inc,N/A,Matson Inc,57686G105,,MATX,US,EC,CORP
Norfolk Southern Corp,N/A,Norfolk Southern Corp,655844108,,NSC,US,EC,CORP
Old Dominion Freight Line Inc,N/A,Old Dominion Freight Line Inc,679580100,,ODFL,US,EC,CORP
PACCAR Inc,N/A,PACCAR Inc,693718108,,PCAR,US,EC,CORP
RXO Inc,N/A,RXO Inc,74982T103,,RXO,US,EC,CORP
Radiant Logistics Inc,N/A,Radiant Logistics Inc,75025X100,,RLGT,US,EC,CORP
Ryder System Inc,N/A,Ryder System Inc,783549108,,R,US,EC,CORP
Saia Inc,N/A,Saia Inc,78709Y105,,SAIA,US,EC,CORP
Schneider National Inc,N/A,Schneider National Inc,80689H102,,SNDR,US,EC,CORP
TFI International Inc,N/A,TFI International Inc,87241L109,,TFII,US,EC,CORP
Terex Corp,N/A,Terex Corp,880779103,,TEX,US,EC,CORP
Trinity Industries Inc,N/A,Trinity Industries Inc,896522109,,TRN,US,EC,CORP
Union Pacific Corp,N/A,Union Pacific Corp,907818108,,UNP,US,EC,CORP
United Parcel Service Inc,N/A,United Parcel Service Inc,911312106,,UPS,US,EC,CORP
Wabash National Corp,N/A,Wabash National Corp,929566107,,WNC,US,EC,CORP
Westinghouse Air Brake Technol,N/A,Westinghouse Air Brake Technologies Corp,929740108,,WAB,US,EC,CORP
Werner Enterprises Inc,N/A,Werner Enterprises Inc,950755108,,WERN,US,EC,CORP
XPO Inc,N/A,XPO Inc,983793100,,XPO,US,EC,CORP
Costamare Inc,N/A,Costamare Inc,N/A,,CMRE,US,EC,CORP
Danaos Corp,N/A,Danaos Corp,N/A,,DAC,US,EC,CORP
Global Ship Lease Inc,N/A,Global Ship Lease Inc,N/A,,GSL,US,EC,CORP
ZIM Integrated Shipping Servic,N/A,ZIM Integrated Shipping Services Ltd,N/A,,ZIM,US,EC,CORP
