holdingId,name,lei,title,cusip,isin,ticker,balance,units,curCd,valUSD,pctVal,payoffProfile,assetCat,issuerCat,invCountry,isRestrictedSec,fairValLevel,isCashCollateral,isNonCashCollateral,isLoanByFund
AAOI,Applied Optoelectronics Inc,529900I8U6Q5SYDNLT48,Applied Optoelectronics Inc,03823U102,US03823U1025,AAOI,38416,NS,USD,6577971.68,1.76,Long,EC,CORP,US,N,1,N,N,N
ADTN,ADTRAN Holdings Inc,549300VV36J86CRRWF77,ADTRAN Holdings Inc,00486H105,US00486H1059,ADTN,225694,NS,USD,3516312.52,0.94,Long,EC,CORP,US,N,1,N,N,N
AEHR,Aehr Test Systems,529900A4GWWZFRU2RE97,Aehr Test Systems,00760J108,US00760J1088,AEHR,40817,NS,USD,4625790.61,1.24,Long,EC,CORP,US,N,1,N,N,N
AEVA,Aeva Technologies Inc,529900EOW3TB2FR95A21,Aeva Technologies Inc,00835Q202,US00835Q2021,AEVA,177848,NS,USD,4494218.96,1.20,Long,EC,CORP,US,N,1,N,N,N
AMAT,Applied Materials Inc,41BNNE1AFPNAZELZ6K07,Applied Materials Inc,038222105,US0382221051,AMAT,36015,NS,USD,23056082.7,6.17,Long,EC,CORP,US,N,1,N,N,N
ASML,ASML Holding NV,724500Y6DUVHQD6OXN27,ASML Holding NV,N/A,USN070592100,ASML,16807,NS,USD,32424904.75,8.68,Long,EC,CORP,NL,N,1,N,N,N
AXTI,AXT Inc,549300M2142IVLVIJN37,AXT Inc,00246W103,US00246W1036,AXTI,67228,NS,USD,6214556.32,1.66,Long,EC,CORP,US,N,1,N,N,N
CAMT,Camtek Ltd/Israel,5493000H80W07HCKGS43,Camtek Ltd/Israel,N/A,IL0010952641,CAMT,26411,NS,USD,5169160.92,1.38,Long,EC,CORP,IL,N,1,N,N,N
CIEN,Ciena Corp,W0CZ7N0GH8UIGXDM1H41,Ciena Corp,171779309,US1717793095,CIEN,24010,NS,USD,11052523.3,2.96,Long,EC,CORP,US,N,1,N,N,N
COHR,Coherent Corp,549300O5C25A0MMHHU33,Coherent Corp,19247G107,US19247G1076,COHR,33614,NS,USD,14302084.72,3.83,Long,EC,CORP,US,N,1,N,N,N
CRDO,Credo Technology Group Holding,N/A,Credo Technology Group Holding Ltd,N/A,KYG254571055,CRDO,40817,NS,USD,12347958.84,3.30,Long,EC,CORP,US,N,1,N,N,N
ENTG,Entegris Inc,IYX6OWO7BT5DKO3BYG52,Entegris Inc,29362U104,US29362U1043,ENTG,52822,NS,USD,9719248,2.60,Long,EC,CORP,US,N,1,N,N,N
FGXXX,First American Government Obli,549300R5MYM6VZF1RM44,First American Government Obligations Fund,31846V336,US31846V3362,FGXXX,10327566.31,NS,USD,10327566.31,2.76,Long,STIV,RF,US,N,1,N,N,N
FN,Fabrinet,5493004TETZ6IYF7CV44,Fabrinet,N/A,KYG3323L1005,FN,12005,NS,USD,7408165.45,1.98,Long,EC,CORP,TH,N,1,N,N,N
FORM,FormFactor Inc,549300YCEEO6SZD1ZR61,FormFactor Inc,346375108,US3463751087,FORM,40817,NS,USD,6394391.22,1.71,Long,EC,CORP,US,N,1,N,N,N
GFS,GLOBALFOUNDRIES Inc,549300BA76VK784VMX48,GLOBALFOUNDRIES Inc,N/A,KYG393871085,GFS,9604,NS,USD,861190.68,0.23,Long,EC,CORP,US,N,1,N,N,N
GLW,Corning Inc,549300X2937PB0CJ7I56,Corning Inc,219350105,US2193501051,GLW,84035,NS,USD,17633064.05,4.72,Long,EC,CORP,US,N,1,N,N,N
HSAI,Hesai Group,836800KOYHURQT1JZY11,Hesai Group,428050108,US4280501085,HSAI,225694,NS,USD,3687839.96,0.99,Long,EC,CORP,CN,N,1,N,N,N
IPGP,IPG Photonics Corp,5493002KZ51CADQ94G15,IPG Photonics Corp,44980X109,US44980X1090,IPGP,38416,NS,USD,4533088,1.21,Long,EC,CORP,US,N,1,N,N,N
KLAC,KLA CORP,549300H0BF5JCG96TJ81,KLA CORP,482480100,US4824801009,KLAC,72030,NS,USD,19387594.8,5.19,Long,EC,CORP,US,N,1,N,N,N
LASR,nLight Inc,N/A,nLight Inc,65487K100,US65487K1007,LASR,67228,NS,USD,4383265.6,1.17,Long,EC,CORP,US,N,1,N,N,N
LITE,Lumentum Holdings Inc,549300JLWRRC38DWEF52,Lumentum Holdings Inc,55024U109,US55024U1097,LITE,14406,NS,USD,12877955.58,3.45,Long,EC,CORP,US,N,1,N,N,N
LRCX,Lam Research Corp,549300I4GMO6D34U1T02,Lam Research Corp,512807306,US5128073062,LRCX,55223,NS,USD,22616027.42,6.05,Long,EC,CORP,US,N,1,N,N,N
LWLG,Lightwave Logic Inc,N/A,Lightwave Logic Inc,532275104,US5322751042,LWLG,48020,NS,USD,481640.6,0.13,Long,EC,CORP,US,N,1,N,N,N
