name,lei,title,cusip,isin,ticker,invCountry,assetCat,issuerCat
AXT Inc,N/A,AXT Inc,00246W103,,AXTI,US,EC,CORP
ADTRAN Holdings Inc,N/A,ADTRAN Holdings Inc,00486H105,,ADTN,US,EC,CORP
Aehr Test Systems,N/A,Aehr Test Systems,00760J108,,AEHR,US,EC,CORP
Aeva Technologies Inc,N/A,Aeva Technologies Inc,00835Q202,,AEVA,US,EC,CORP
Applied Materials Inc,N/A,Applied Materials Inc,038222105,,AMAT,US,EC,CORP
Applied Optoelectronics Inc,N/A,Applied Optoelectronics Inc,03823U102,,AAOI,US,EC,CORP
Ciena Corp,N/A,Ciena Corp,171779309,,CIEN,US,EC,CORP
Coherent Corp,N/A,Coherent Corp,19247G107,,COHR,US,EC,CORP
Corning Inc,N/A,Corning Inc,219350105,,GLW,US,EC,CORP
Entegris Inc,N/A,Entegris Inc,29362U104,,ENTG,US,EC,CORP
First American Government Obli,549300R5MYM6VZF1RM44,First American Government Obligations Fund,31846V336,US31846V3362,FGXXX,US,STIV,RF
FormFactor Inc,N/A,FormFactor Inc,346375108,,FORM,US,EC,CORP
Hesai Group,N/A,Hesai Group,428050108,,HSAI,US,EC,CORP
IPG Photonics Corp,N/A,IPG Photonics Corp,44980X109,,IPGP,US,EC,CORP
KLA CORP,N/A,KLA CORP,482480100,,KLAC,US,EC,CORP
Lam Research Corp,N/A,Lam Research Corp,512807306,,LRCX,US,EC,CORP
Lightwave Logic Inc,N/A,Lightwave Logic Inc,532275104,,LWLG,US,EC,CORP
Lumentum Holdings Inc,N/A,Lumentum Holdings Inc,55024U109,,LITE,US,EC,CORP
MACOM Technology Solutions Hol,N/A,MACOM Technology Solutions Holdings Inc,55405Y100,,MTSI,US,EC,CORP
MARVELL TECHNOLOGY INC,N/A,MARVELL TECHNOLOGY INC,573874104,,MRVL,US,EC,CORP
Materion Corp,N/A,Materion Corp,576690101,,MTRN,US,EC,CORP
nLight Inc,N/A,nLight Inc,65487K100,,LASR,US,EC,CORP
Novanta Inc,N/A,Novanta Inc,67000B104,,NOVT,US,EC,CORP
Onto Innovation Inc,N/A,Onto Innovation Inc,683344105,,ONTO,US,EC,CORP
Ouster Inc,N/A,Ouster Inc,68989M202,,OUST,US,EC,CORP
PDF Solutions Inc,N/A,PDF Solutions Inc,693282105,,PDFS,US,EC,CORP
Photronics Inc,N/A,Photronics Inc,719405102,,PLAB,US,EC,CORP
POET Technologies Inc,N/A,POET Technologies Inc,73044W302,,POET,US,EC,CORP
Taiwan Semiconductor Manufactu,N/A,Taiwan Semiconductor Manufacturing Co Ltd,874039100,,TSM,US,EC,CORP
Teledyne Technologies Inc,N/A,Teledyne Technologies Inc,879360105,,TDY,US,EC,CORP
Ultra Clean Holdings Inc,N/A,Ultra Clean Holdings Inc,90385V107,,UCTT,US,EC,CORP
Veeco Instruments Inc,N/A,Veeco Instruments Inc,922417100,,VECO,US,EC,CORP
Viavi Solutions Inc,N/A,Viavi Solutions Inc,925550105,,VIAV,US,EC,CORP
ASML Holding NV,N/A,ASML Holding NV,N/A,,ASML,NL,EC,CORP
Camtek Ltd/Israel,N/A,Camtek Ltd/Israel,N/A,,CAMT,IL,EC,CORP
Credo Technology Group Holding,N/A,Credo Technology Group Holding Ltd,N/A,KYG254571055,CRDO,US,EC,CORP
Fabrinet,N/A,Fabrinet,N/A,,FN,US,EC,CORP
GLOBALFOUNDRIES Inc,N/A,GLOBALFOUNDRIES Inc,N/A,,GFS,US,EC,CORP
Nova Ltd,N/A,Nova Ltd,N/A,,NVMI,US,EC,CORP
Tower Semiconductor Ltd,N/A,Tower Semiconductor Ltd,N/A,,TSEM,US,EC,CORP
