name,lei,title,cusip,isin,ticker,invCountry,assetCat,issuerCat
Archrock Inc,N/A,Archrock Inc,03957W106,,AROC,US,EC,CORP
Baker Hughes Co,N/A,Baker Hughes Co,05722G100,,BKR,US,EC,CORP
Caterpillar Inc,N/A,Caterpillar Inc,149123101,,CAT,US,EC,CORP
Chart Industries Inc,N/A,Chart Industries Inc,16115Q308,,GTLS,US,EC,CORP
Cheniere Energy Inc,N/A,Cheniere Energy Inc,16411R208,,LNG,US,EC,CORP
Clean Energy Fuels Corp,N/A,Clean Energy Fuels Corp,184499101,,CLNE,US,EC,CORP
Cummins Inc,N/A,Cummins Inc,231021106,,CMI,US,EC,CORP
Curtiss-Wright Corp,N/A,Curtiss-Wright Corp,231561101,,CW,US,EC,CORP
Donaldson Co Inc,N/A,Donaldson Co Inc,257651109,,DCI,US,EC,CORP
First American Government Obli,549300R5MYM6VZF1RM44,First American Government Obligations Fund,31846V336,US31846V3362,FGXXX,US,STIV,RF
Fluor Corp,N/A,Fluor Corp,343412102,,FLR,US,EC,CORP
Flowserve Corp,N/A,Flowserve Corp,34354P105,,FLS,US,EC,CORP
GE Vernova Inc,N/A,GE Vernova Inc,36828A101,,GEV,US,EC,CORP
Generac Holdings Inc,N/A,Generac Holdings Inc,368736104,,GNRC,US,EC,CORP
Argan Inc,N/A,Argan Inc,4.01E+112,,AGX,US,EC,CORP
Kinder Morgan Inc,N/A,Kinder Morgan Inc,49456B101,,KMI,US,EC,CORP
Kodiak Gas Services Inc,N/A,Kodiak Gas Services Inc,50012A108,,KGS,US,EC,CORP
Natural Gas Services Group Inc,N/A,Natural Gas Services Group Inc,63886Q109,,NGS,US,EC,CORP
New Fortress Energy Inc,N/A,New Fortress Energy Inc,644393100,,NFE,US,EC,CORP
ONEOK Inc,N/A,ONEOK Inc,682680103,,OKE,US,EC,CORP
Woodward Inc,N/A,Woodward Inc,980745103,,WWD,US,EC,CORP
Eaton Corp PLC,N/A,Eaton Corp PLC,N/A,,ETN,US,EC,CORP
TechnipFMC PLC,N/A,TechnipFMC PLC,N/A,,FTI,US,EC,CORP
