holdingId,name,lei,title,cusip,isin,ticker,balance,units,curCd,valUSD,pctVal,payoffProfile,assetCat,issuerCat,invCountry,isRestrictedSec,fairValLevel,isCashCollateral,isNonCashCollateral,isLoanByFund
ABSI,Absci Corp,N/A,Absci Corp,00091E109,US00091E1091,ABSI,2387,NS,USD,20050.8,1.30,Long,EC,CORP,US,N,1,N,N,N
ADPT,Adaptive Biotechnologies Corp,549300ZTF7OT1FW66Q96,Adaptive Biotechnologies Corp,00650F109,US00650F1093,ADPT,1298,NS,USD,22546.26,1.46,Long,EC,CORP,US,N,1,N,N,N
ALNY,Alnylam Pharmaceuticals Inc,529900S3ZI14OWRJII50,Alnylam Pharmaceuticals Inc,02043Q107,US02043Q1076,ALNY,220,NS,USD,63010.2,4.09,Long,EC,CORP,US,N,1,N,N,N
ARCT,Arcturus Therapeutics Holdings,N/A,Arcturus Therapeutics Holdings Inc,03969T109,US03969T1097,ARCT,792,NS,USD,5726.16,0.37,Long,EC,CORP,US,N,1,N,N,N
ARWR,Arrowhead Pharmaceuticals Inc,549300O3CSB8T7OZ3D66,Arrowhead Pharmaceuticals Inc,04280A100,US04280A1007,ARWR,451,NS,USD,36982,2.40,Long,EC,CORP,US,N,1,N,N,N
AZTA,Azenta Inc,35ZN6X1ANPH25YN32Y17,Azenta Inc,114340102,US1143401024,AZTA,495,NS,USD,11023.65,0.72,Long,EC,CORP,US,N,1,N,N,N
BDSX,Biodesix Inc,N/A,Biodesix Inc,09075X207,US09075X2071,BDSX,462,NS,USD,8015.7,0.52,Long,EC,CORP,US,N,1,N,N,N
BEAM,Beam Therapeutics Inc,N/A,Beam Therapeutics Inc,07373V105,US07373V1052,BEAM,704,NS,USD,25013.12,1.62,Long,EC,CORP,US,N,1,N,N,N
BMRN,BioMarin Pharmaceutical Inc,NSLL8ITTRR0J5HEMR848,BioMarin Pharmaceutical Inc,09061G101,US09061G1013,BMRN,693,NS,USD,38738.7,2.51,Long,EC,CORP,US,N,1,N,N,N
CAI,Caris Life Sciences Inc,549300LX5LO78M5VPY43,Caris Life Sciences Inc,142152107,US1421521071,CAI,880,NS,USD,15232.8,0.99,Long,EC,CORP,US,N,1,N,N,N
CDNA,CareDx Inc,549300NQOFKL9NON0U06,CareDx Inc,14167L103,US14167L1035,CDNA,594,NS,USD,14879.7,0.97,Long,EC,CORP,US,N,1,N,N,N
CERT,Certara Inc,N/A,Certara Inc,15687V109,US15687V1098,CERT,1815,NS,USD,9692.1,0.63,Long,EC,CORP,US,N,1,N,N,N
CRBU,Caribou Biosciences Inc,N/A,Caribou Biosciences Inc,142038108,US1420381089,CRBU,3058,NS,USD,5015.12,0.33,Long,EC,CORP,US,N,1,N,N,N
