holdingId,name,lei,title,cusip,isin,ticker,balance,units,curCd,valUSD,pctVal,payoffProfile,assetCat,issuerCat,invCountry,isRestrictedSec,fairValLevel,isCashCollateral,isNonCashCollateral,isLoanByFund
AMZN,Amazon.com Inc,ZXTILKJKG63JELOEG630,Amazon.com Inc,023135106,US0231351067,AMZN,1496,NS,USD,348253.84,12.45,Long,EC,CORP,US,N,1,N,N,N
ASC,Ardmore Shipping Corp,549300J8HD7K6BHD8O28,Ardmore Shipping Corp,N/A,MHY0207T1001,ASC,2156,NS,USD,37859.36,1.35,Long,EC,CORP,IE,N,1,N,N,N
CHRW,CH Robinson Worldwide Inc,529900WNWN5L0OVDHA79,CH Robinson Worldwide Inc,12541W209,US12541W2098,CHRW,550,NS,USD,102888.5,3.68,Long,EC,CORP,US,N,1,N,N,N
CMBT,CMB Tech NV,549300D80RYON74MEJ03,CMB Tech NV,N/A,BE0003816338,CMBT,3608,NS,USD,55094.16,1.97,Long,EC,CORP,BE,N,1,N,N,N
CMRE,Costamare Inc,5299003L6NPTZ25LN818,Costamare Inc,N/A,MHY1771G1026,CMRE,2266,NS,USD,34556.5,1.24,Long,EC,CORP,MC,N,1,N,N,N
DAC,Danaos Corp,734IM3DNDNT36T7YTD24,Danaos Corp,N/A,MHY1968P1218,DAC,352,NS,USD,44841.28,1.60,Long,EC,CORP,GR,N,1,N,N,N
DHT,DHT Holdings Inc,549300SMD6IVZYT74K40,DHT Holdings Inc,N/A,MHY2065G1219,DHT,3058,NS,USD,60456.66,2.16,Long,EC,CORP,BM,N,1,N,N,N
DSGX,Descartes Systems Group Inc/Th,875500NEPA7JI5EOMN45,Descartes Systems Group Inc/The,249906108,CA2499061083,DSGX,990,NS,USD,65795.4,2.35,Long,EC,CORP,CA,N,1,N,N,N
DSX,Diana Shipping Inc,549300XD7FHNJ0THIV12,Diana Shipping Inc,N/A,MHY2066G1044,DSX,10472,NS,USD,22514.8,0.80,Long,EC,CORP,GR,N,1,N,N,N
EE,Excelerate Energy Inc,254900J6DPU4HB368I65,Excelerate Energy Inc,30069T101,US30069T1016,EE,1144,NS,USD,41069.6,1.47,Long,EC,CORP,US,N,1,N,N,N
ESEA,Euroseas Ltd,213800ADWWZOFC9KU444,Euroseas Ltd,N/A,MHY235921357,ESEA,440,NS,USD,30320.4,1.08,Long,EC,CORP,GR,N,1,N,N,N
EXPD,Expeditors International of Wa,984500B055A804AB6E40,Expeditors International of Washington Inc,302130109,US3021301094,EXPD,660,NS,USD,107679,3.85,Long,EC,CORP,US,N,1,N,N,N
FDX,FedEx Corp,549300E707U7WNPZN687,FedEx Corp,31428X106,US31428X1063,FDX,396,NS,USD,130196.88,4.65,Long,EC,CORP,US,N,1,N,N,N
FDXF,Fedex Freight Holding Co Inc,984500Y1DA5A58ICE336,Fedex Freight Holding Co Inc,314352105,US3143521058,FDXF,198,NS,USD,31866.12,1.14,Long,EC,CORP,US,N,1,N,N,N
