name,lei,title,cusip,isin,ticker,invCountry,assetCat,issuerCat
Advanced Energy Industries Inc,N/A,Advanced Energy Industries Inc,007973100,,AEIS,US,EC,CORP
American Superconductor Corp,N/A,American Superconductor Corp,030111207,,AMSC,US,EC,CORP
Arcosa Inc,N/A,Arcosa Inc,039653100,,ACA,US,EC,CORP
Atkore Inc,N/A,Atkore Inc,047649108,,ATKR,US,EC,CORP
Dycom Industries Inc,N/A,Dycom Industries Inc,267475101,,DY,US,EC,CORP
ESCO Technologies Inc,N/A,ESCO Technologies Inc,296315104,,ESE,US,EC,CORP
First American Government Obli,549300R5MYM6VZF1RM44,First American Government Obligations Fund,31846V336,US31846V3362,FGXXX,US,STIV,RF
Forgent Power Solutions Inc,N/A,Forgent Power Solutions Inc,34631F102,,FPS,US,EC,CORP
GE Vernova Inc,N/A,GE Vernova Inc,36828A101,,GEV,US,EC,CORP
Hubbell Inc,N/A,Hubbell Inc,443510607,,HUBB,US,EC,CORP
Itron Inc,N/A,Itron Inc,465741106,,ITRI,US,EC,CORP
MYR Group Inc,N/A,MYR Group Inc,55405W104,,MYRG,US,EC,CORP
MasTec Inc,N/A,MasTec Inc,576323109,,MTZ,US,EC,CORP
Quanta Services Inc,N/A,Quanta Services Inc,7.48E+106,,PWR,US,EC,CORP
Powell Industries Inc,N/A,Powell Industries Inc,739128106,,POWL,US,EC,CORP
Preformed Line Products Co,N/A,Preformed Line Products Co,740444104,,PLPC,US,EC,CORP
Primoris Services Corp,N/A,Primoris Services Corp,74164F103,,PRIM,US,EC,CORP
Valmont Industries Inc,N/A,Valmont Industries Inc,920253101,,VMI,US,EC,CORP
Eaton Corp PLC,N/A,Eaton Corp PLC,N/A,,ETN,US,EC,CORP
nVent Electric PLC,N/A,nVent Electric PLC,N/A,,NVT,US,EC,CORP
