holdingId,name,lei,title,cusip,isin,ticker,balance,units,curCd,valUSD,pctVal,payoffProfile,assetCat,issuerCat,invCountry,isRestrictedSec,fairValLevel,isCashCollateral,isNonCashCollateral,isLoanByFund
AFRM,Affirm Holdings Inc,N/A,Affirm Holdings Inc,00827B106,US00827B1061,AFRM,432,NS,USD,31190.4,2.24,Long,EC,CORP,US,N,1,N,N,N
ALLY,Ally Financial Inc,549300JBN1OSM8YNAI90,Ally Financial Inc,02005N100,US02005N1000,ALLY,588,NS,USD,26795.16,1.93,Long,EC,CORP,US,N,1,N,N,N
BILL,BILL Holdings Inc,549300IBF9VZZIGOZW63,BILL Holdings Inc,090043100,US0900431000,BILL,432,NS,USD,13806.72,0.99,Long,EC,CORP,US,N,1,N,N,N
BR,Broadridge Financial Solutions,549300KZDJZQ2YIHRC28,Broadridge Financial Solutions Inc,11133T103,US11133T1034,BR,216,NS,USD,29423.52,2.12,Long,EC,CORP,US,N,1,N,N,N
CHYM,Chime Financial Inc,N/A,Chime Financial Inc,16935C109,US16935C1099,CHYM,852,NS,USD,14415.84,1.04,Long,EC,CORP,US,N,1,N,N,N
COIN,Coinbase Global Inc,5493004G3J2SC154DU06,Coinbase Global Inc,19260Q107,US19260Q1076,COIN,216,NS,USD,35605.44,2.56,Long,EC,CORP,US,N,1,N,N,N
CPAY,Corpay Inc,549300DG6RR0NQSFLN74,Corpay Inc,219948106,US2199481068,CPAY,108,NS,USD,37494.36,2.70,Long,EC,CORP,US,N,1,N,N,N
CRCL,Circle Internet Group Inc,254900HFVVR6NPMQVN93,Circle Internet Group Inc,172573107,US1725731079,CRCL,336,NS,USD,26863.2,1.93,Long,EC,CORP,US,N,1,N,N,N
DAVE,Dave Inc,25490061SUVXCW51RZ82,Dave Inc,23834J201,US23834J2015,DAVE,48,NS,USD,14866.56,1.07,Long,EC,CORP,US,N,1,N,N,N
DLO,Dlocal Ltd/Uruguay,529900D15DJKVN3RCO35,Dlocal Ltd/Uruguay,N/A,KYG290181018,DLO,768,NS,USD,9377.28,0.67,Long,EC,CORP,UY,N,1,N,N,N
