name,lei,title,cusip,isin,ticker,invCountry,assetCat,issuerCat
Affirm Holdings Inc,N/A,Affirm Holdings Inc,00827B106,,AFRM,US,EC,CORP
Ally Financial Inc,N/A,Ally Financial Inc,02005N100,,ALLY,US,EC,CORP
BILL Holdings Inc,N/A,BILL Holdings Inc,090043100,,BILL,US,EC,CORP
Broadridge Financial Solutions,N/A,Broadridge Financial Solutions Inc,11133T103,,BR,US,EC,CORP
Chime Financial Inc,N/A,Chime Financial Inc,16935C109,,CHYM,US,EC,CORP
Coinbase Global Inc,5493004G3J2SC154DU06,Coinbase Global Inc,19260Q107,US19260Q1076,COIN,US,EC,CORP
Corpay Inc,N/A,Corpay Inc,219948106,,CPAY,US,EC,CORP
Circle Internet Group Inc,N/A,Circle Internet Group Inc,172573107,,CRCL,US,EC,CORP
Dave Inc,N/A,Dave Inc,23834J201,,DAVE,US,EC,CORP
Dlocal Ltd/Uruguay,N/A,Dlocal Ltd/Uruguay,N/A,,DLO,US,EC,CORP
Equifax Inc,N/A,Equifax Inc,294429105,,EFX,US,EC,CORP
Etoro Group Ltd,N/A,Etoro Group Ltd,N/A,,ETOR,US,EC,CORP
Fair Isaac Corp,N/A,Fair Isaac Corp,303250104,,FICO,US,EC,CORP
Fidelity National Information ,N/A,Fidelity National Information Services Inc,31620M106,,FIS,US,EC,CORP
Fiserv Inc,N/A,Fiserv Inc,337738108,,FISV,US,EC,CORP
Flywire Corp,N/A,Flywire Corp,302492103,,FLYW,US,EC,CORP
Shift4 Payments Inc,N/A,Shift4 Payments Inc,82452J109,,FOUR,US,EC,CORP
Green Dot Corp,N/A,Green Dot Corp,39304D102,,GDOT,US,EC,CORP
Global-e Online Ltd,N/A,Global-e Online Ltd,N/A,,GLBE,IL,EC,CORP
Global Payments Inc,N/A,Global Payments Inc,37940X102,,GPN,US,EC,CORP
Robinhood Markets Inc,213800FS5AO3YWIE6F63,Robinhood Markets Inc,770700102,US7707001027,HOOD,US,EC,CORP
Inter & Co Inc,N/A,Inter & Co Inc,N/A,,INTR,US,EC,CORP
Intuit Inc,N/A,Intuit Inc,461202103,,INTU,US,EC,CORP
Jack Henry & Associates Inc,N/A,Jack Henry & Associates Inc,426281101,,JKHY,US,EC,CORP
Kaspi.KZ JSC,N/A,Kaspi.KZ JSC,48581R205,,KSPI,US,EC,CORP
Open Lending Corp,N/A,Open Lending Corp,68373J104,,LPRO,US,EC,CORP
Mastercard Inc,N/A,Mastercard Inc,57636Q104,,MA,US,EC,CORP
MercadoLibre Inc,549300DKPDN9M5S8GB14,MercadoLibre Inc,58733R102,US58733R1023,MELI,UY,EC,CORP
Miami International Holdings I,N/A,Miami International Holdings Inc,59356Q108,,MIAX,US,EC,CORP
Marqeta Inc,N/A,Marqeta Inc,57142B104,,MQ,US,EC,CORP
nCino Inc,N/A,nCino Inc,63947X101,,NCNO,US,EC,CORP
NerdWallet Inc,N/A,NerdWallet Inc,64082B102,,NRDS,US,EC,CORP
NU Holdings Ltd/Cayman Islands,5493002DG1RHWK9W2X27,NU Holdings Ltd/Cayman Islands,N/A,KYG6683N1034,NU,BR,EC,CORP
Oportun Financial Corp,N/A,Oportun Financial Corp,68376D104,,OPRT,US,EC,CORP
OneSpan Inc,N/A,OneSpan Inc,68287N100,,OSPN,US,EC,CORP
Pagseguro Digital Ltd,N/A,Pagseguro Digital Ltd,N/A,,PAGS,US,EC,CORP
Payoneer Global Inc,N/A,Payoneer Global Inc,70451X104,,PAYO,US,EC,CORP
Pagaya Technologies Ltd,N/A,Pagaya Technologies Ltd,N/A,,PGY,US,EC,CORP
Paysafe Ltd,N/A,Paysafe Ltd,N/A,,PSFE,US,EC,CORP
PayPal Holdings Inc,N/A,PayPal Holdings Inc,70450Y103,,PYPL,US,EC,CORP
Q2 Holdings Inc,N/A,Q2 Holdings Inc,74736L109,,QTWO,US,EC,CORP
Remitly Global Inc,N/A,Remitly Global Inc,75960P104,,RELY,US,EC,CORP
Rocket Cos Inc,N/A,Rocket Cos Inc,77311W101,,RKT,US,EC,CORP
Repay Holdings Corp,N/A,Repay Holdings Corp,76029L100,,RPAY,US,EC,CORP
Riskified Ltd,N/A,Riskified Ltd,N/A,,RSKD,US,EC,CORP
Sea Ltd,N/A,Sea Ltd,81141R100,,SE,US,EC,CORP
SoFi Technologies Inc,N/A,SoFi Technologies Inc,83406F102,,SOFI,US,EC,CORP
StoneCo Ltd,N/A,StoneCo Ltd,N/A,,STNE,US,EC,CORP
Toast Inc,N/A,Toast Inc,888787108,,TOST,US,EC,CORP
LendingTree Inc,N/A,LendingTree Inc,52603B107,,TREE,US,EC,CORP
Upstart Holdings Inc,N/A,Upstart Holdings Inc,91680M107,,UPST,US,EC,CORP
Visa Inc,N/A,Visa Inc,92826C839,,V,US,EC,CORP
WEX Inc,N/A,WEX Inc,96208T104,,WEX,US,EC,CORP
Wealthfront Corp,N/A,Wealthfront Corp,947002101,,WLTH,US,EC,CORP
Western Union Co/The,N/A,Western Union Co/The,959802109,,WU,US,EC,CORP
Block Inc,549300OHIIUWSTIZME52,Block Inc,852234103,US8522341036,XYZ,US,EC,CORP
First American Government Obli,549300R5MYM6VZF1RM44,First American Government Obligations Fund,31846V336,US31846V3362,FGXXX,US,STIV,RF
