holdingId,name,lei,title,cusip,isin,ticker,balance,units,curCd,valUSD,pctVal,payoffProfile,assetCat,issuerCat,invCountry,isRestrictedSec,fairValLevel,isCashCollateral,isNonCashCollateral,isLoanByFund
AFRM,Affirm Holdings Inc,N/A,Affirm Holdings Inc,00827B106,US00827B1061,AFRM,1152,NS,USD,83174.4,5.43,Long,EC,CORP,US,N,1,N,N,N
BFH,Bread Financial Holdings Inc,549300G8S4PO686J7H97,Bread Financial Holdings Inc,018581108,US0185811082,BFH,708,NS,USD,73405.44,4.80,Long,EC,CORP,US,N,1,N,N,N
FGXXX,First American Government Obli,549300R5MYM6VZF1RM44,First American Government Obligations Fund,31846V336,US31846V3362,FGXXX,12582.77,NS,USD,12582.77,0.82,Long,STIV,RF,US,N,1,N,N,N
FINV,FinVolution Group,3003000RAVUT809U6P08,FinVolution Group,31810T101,US31810T1016,FINV,10164,NS,USD,48075.72,3.14,Long,EC,CORP,CN,N,1,N,N,N
KLAR,Klarna Group PLC,636700HER4JIK7GZUN17,Klarna Group PLC,N/A,GB00BMHVL512,KLAR,4656,NS,USD,83668.32,5.47,Long,EC,CORP,GB,N,1,N,N,N
KSPI,Kaspi.KZ JSC,2549003YU6FARG8OAZ13,Kaspi.KZ JSC,48581R205,US48581R2058,KSPI,660,NS,USD,55974.6,3.66,Long,EC,CORP,KZ,N,1,N,N,N
MA,Mastercard Inc,AR5L2ODV9HN37376R084,Mastercard Inc,57636Q104,US57636Q1040,MA,384,NS,USD,185890.56,12.14,Long,EC,CORP,US,N,1,N,N,N
MELI,MercadoLibre Inc,549300DKPDN9M5S8GB14,MercadoLibre Inc,58733R102,US58733R1023,MELI,36,NS,USD,57220.2,3.74,Long,EC,CORP,UY,N,1,N,N,N
MITK,Mitek Systems Inc,549300ABZAQ3R25XG118,Mitek Systems Inc,606710200,US6067102003,MITK,1224,NS,USD,21187.44,1.38,Long,EC,CORP,US,N,1,N,N,N
MQ,Marqeta Inc,254900UZARK0FMZGZE18,Marqeta Inc,57142B104,US57142B1044,MQ,12432,NS,USD,46744.32,3.05,Long,EC,CORP,US,N,1,N,N,N
NU,NU Holdings Ltd/Cayman Islands,5493002DG1RHWK9W2X27,NU Holdings Ltd/Cayman Islands,N/A,KYG6683N1034,NU,5088,NS,USD,65075.52,4.25,Long,EC,CORP,BR,N,1,N,N,N
OMF,OneMain Holdings Inc,549300E3VEW8SMS5XW09,OneMain Holdings Inc,68268W103,US68268W1036,OMF,720,NS,USD,41925.6,2.74,Long,EC,CORP,US,N,1,N,N,N
OPFI,OppFi Inc,N/A,OppFi Inc,68386H103,US68386H1032,OPFI,1236,NS,USD,10332.96,0.67,Long,EC,CORP,US,N,1,N,N,N
PGY,Pagaya Technologies Ltd,N/A,Pagaya Technologies Ltd,N/A,IL0011858912,PGY,1452,NS,USD,21910.68,1.43,Long,EC,CORP,US,N,1,N,N,N
PYPL,PayPal Holdings Inc,5493005X2GO78EFZ3E94,PayPal Holdings Inc,70450Y103,US70450Y1038,PYPL,1464,NS,USD,61985.76,4.05,Long,EC,CORP,US,N,1,N,N,N
SE,Sea Ltd,529900OM6JLLW44YKI15,Sea Ltd,81141R100,US81141R1005,SE,864,NS,USD,76930.56,5.03,Long,EC,CORP,SG,N,1,N,N,N
SEZL,Sezzle Inc,9845000CA64541AE3I35,Sezzle Inc,78435P105,US78435P1057,SEZL,636,NS,USD,99514.92,6.50,Long,EC,CORP,US,N,1,N,N,N
SHOP,Shopify Inc,549300HGQ43STJLLP808,Shopify Inc,82509L107,CA82509L1076,SHOP,588,NS,USD,63492.24,4.15,Long,EC,CORP,CA,N,1,N,N,N
SYF,Synchrony Financial,549300RS7EWPM9MA6C78,Synchrony Financial,87165B103,US87165B1035,SYF,972,NS,USD,73590.12,4.81,Long,EC,CORP,US,N,1,N,N,N
UPST,Upstart Holdings Inc,549300WNB47JRNENIC75,Upstart Holdings Inc,91680M107,US91680M1071,UPST,1704,NS,USD,53369.28,3.49,Long,EC,CORP,US,N,1,N,N,N
V,Visa Inc,549300JZ4OKEHW3DPJ59,Visa Inc,92826C839,US92826C8394,V,672,NS,USD,219475.2,14.34,Long,EC,CORP,US,N,1,N,N,N
XYZ,Block Inc,549300OHIIUWSTIZME52,Block Inc,852234103,US8522341036,XYZ,1032,NS,USD,75408.24,4.93,Long,EC,CORP,US,N,1,N,N,N
