holdingId,name,lei,title,cusip,isin,ticker,balance,units,curCd,valUSD,pctVal,payoffProfile,assetCat,issuerCat,invCountry,isRestrictedSec,fairValLevel,isCashCollateral,isNonCashCollateral,isLoanByFund
ACEL,Accel Entertainment Inc,N/A,Accel Entertainment Inc,00436Q106,US00436Q1067,ACEL,2412,NS,USD,30849.48,2.63,Long,EC,CORP,US,N,1,N,N,N
BALY,Bally's Corp,549300NS4D5IK406VT62,Bally's Corp,05875B304,US05875B3042,BALY,1377,NS,USD,19883.88,1.70,Long,EC,CORP,US,N,1,N,N,N
BRSL,Brightstar Lottery PLC,549300UQ6KHRCZDRGZ76,Brightstar Lottery PLC,N/A,GB00BVG7F061,BRSL,3006,NS,USD,32915.7,2.81,Long,EC,CORP,GB,N,1,N,N,N
BYD,Boyd Gaming Corp,254900787YGRYS2A1Z35,Boyd Gaming Corp,103304101,US1033041013,BYD,675,NS,USD,58286.25,4.97,Long,EC,CORP,US,N,1,N,N,N
CDRO,Codere Online Luxembourg SA,222100ZJU57ZQLLYNO89,Codere Online Luxembourg SA,N/A,LU2405144788,CDRO,1872,NS,USD,18429.84,1.57,Long,EC,CORP,LU,N,1,N,N,N
CHDN,Churchill Downs Inc,529900FODTBQC8MIS994,Churchill Downs Inc,171484108,US1714841087,CHDN,558,NS,USD,48183.3,4.11,Long,EC,CORP,US,N,1,N,N,N
CZR,Caesars Entertainment Inc,549300FA4CTCW903Y781,Caesars Entertainment Inc,12769G100,US12769G1004,CZR,2016,NS,USD,59048.64,5.04,Long,EC,CORP,US,N,1,N,N,N
DKNG,DraftKings Inc,2549006G33IUL6IVOD83,DraftKings Inc,26142V105,US26142V1052,DKNG,2448,NS,USD,62791.2,5.36,Long,EC,CORP,US,N,1,N,N,N
FGXXX,First American Government Obli,549300R5MYM6VZF1RM44,First American Government Obligations Fund,31846V336,US31846V3362,FGXXX,32399.94,NS,USD,32399.94,2.77,Long,STIV,RF,US,N,1,N,N,N
FLL,Full House Resorts Inc,5493009DKIWW0H901Y82,Full House Resorts Inc,359678109,US3596781092,FLL,5742,NS,USD,15560.82,1.33,Long,EC,CORP,US,N,1,N,N,N
FLUT,Flutter Entertainment PLC,635400EG4YIJLJMZJ782,Flutter Entertainment PLC,N/A,IE00BWT6H894,FLUT,1008,NS,USD,98219.52,8.38,Long,EC,CORP,US,N,1,N,N,N
GAMB,Gambling.com Group Ltd,254900PUNXQ3N26IMU63,Gambling.com Group Ltd,N/A,JE00BL970N11,GAMB,3807,NS,USD,8603.82,0.73,Long,EC,CORP,JE,N,1,N,N,N
GENI,Genius Sports Ltd,N/A,Genius Sports Ltd,N/A,GG00BMF1JR16,GENI,8010,NS,USD,47579.4,4.06,Long,EC,CORP,GB,N,1,N,N,N
INSE,Inspired Entertainment Inc,549300ZUGYK6NBIU6D69,Inspired Entertainment Inc,45782N108,US45782N1081,INSE,2637,NS,USD,20410.38,1.74,Long,EC,CORP,US,N,1,N,N,N
LVS,Las Vegas Sands Corp,549300DUOO1KXOHPM605,Las Vegas Sands Corp,517834107,US5178341070,LVS,2214,NS,USD,105829.2,9.03,Long,EC,CORP,US,N,1,N,N,N
MCRI,Monarch Casino & Resort Inc,549300AK5FF7KY11V997,Monarch Casino & Resort Inc,609027107,US6090271072,MCRI,333,NS,USD,43110.18,3.68,Long,EC,CORP,US,N,1,N,N,N
MGM,MGM Resorts International,54930066VBP7DZEGGJ87,MGM Resorts International,552953101,US5529531015,MGM,1440,NS,USD,67060.8,5.72,Long,EC,CORP,US,N,1,N,N,N
MLCO,Melco Resorts & Entertainment ,529900NRV6LBR3T6B421,Melco Resorts & Entertainment Ltd,585464100,US5854641009,MLCO,8982,NS,USD,47604.6,4.06,Long,EC,CORP,HK,N,1,N,N,N
PENN,Penn Entertainment Inc,N/A,Penn Entertainment Inc,707569109,US7075691094,PENN,2745,NS,USD,57178.35,4.88,Long,EC,CORP,US,N,1,N,N,N
PSFE,Paysafe Ltd,2138003K6PVDCI5TBN11,Paysafe Ltd,N/A,BMG6964L2062,PSFE,2160,NS,USD,14428.8,1.23,Long,EC,CORP,GB,N,1,N,N,N
RRR,Red Rock Resorts Inc,N/A,Red Rock Resorts Inc,75700L108,US75700L1089,RRR,1008,NS,USD,60933.6,5.20,Long,EC,CORP,US,N,1,N,N,N
RSI,Rush Street Interactive Inc,N/A,Rush Street Interactive Inc,782011100,US7820111000,RSI,2052,NS,USD,62627.04,5.34,Long,EC,CORP,US,N,1,N,N,N
SGHC,Super Group SGHC Ltd,N/A,Super Group SGHC Ltd,N/A,GG00BMG42V42,SGHC,3717,NS,USD,51034.41,4.36,Long,EC,CORP,GG,N,1,N,N,N
SRAD,Sportradar Group AG,549300H1P33YOAT7Z533,Sportradar Group AG,N/A,CH1134239669,SRAD,3600,NS,USD,52488,4.48,Long,EC,CORP,CH,N,1,N,N,N
WYNN,Wynn Resorts Ltd,254900CEKKWIHTEAB172,Wynn Resorts Ltd,983134107,US9831341071,WYNN,540,NS,USD,55954.8,4.78,Long,EC,CORP,US,N,1,N,N,N
