name,lei,title,cusip,isin,ticker,invCountry,assetCat,issuerCat
Accel Entertainment Inc,N/A,Accel Entertainment Inc,00436Q106,,ACEL,US,EC,CORP
Bally's Corp,N/A,Bally's Corp,05875B304,,BALY,US,EC,CORP
Boyd Gaming Corp,N/A,Boyd Gaming Corp,103304101,,BYD,US,EC,CORP
Caesars Entertainment Inc,N/A,Caesars Entertainment Inc,12769G100,,CZR,US,EC,CORP
Churchill Downs Inc,N/A,Churchill Downs Inc,171484108,,CHDN,US,EC,CORP
DraftKings Inc,N/A,DraftKings Inc,26142V105,,DKNG,US,EC,CORP
First American Government Obli,549300R5MYM6VZF1RM44,First American Government Obligations Fund,31846V336,US31846V3362,FGXXX,US,STIV,RF
Full House Resorts Inc,N/A,Full House Resorts Inc,359678109,,FLL,US,EC,CORP
Inspired Entertainment Inc,N/A,Inspired Entertainment Inc,45782N108,,INSE,US,EC,CORP
Las Vegas Sands Corp,N/A,Las Vegas Sands Corp,517834107,,LVS,US,EC,CORP
MGM Resorts International,N/A,MGM Resorts International,552953101,,MGM,US,EC,CORP
Melco Resorts & Entertainment ,N/A,Melco Resorts & Entertainment Ltd,585464100,,MLCO,US,EC,CORP
Monarch Casino & Resort Inc,N/A,Monarch Casino & Resort Inc,609027107,,MCRI,US,EC,CORP
Penn Entertainment Inc,N/A,Penn Entertainment Inc,707569109,,PENN,US,EC,CORP
Red Rock Resorts Inc,N/A,Red Rock Resorts Inc,75700L108,,RRR,US,EC,CORP
Rush Street Interactive Inc,N/A,Rush Street Interactive Inc,782011100,,RSI,US,EC,CORP
Wynn Resorts Ltd,N/A,Wynn Resorts Ltd,983134107,,WYNN,US,EC,CORP
Brightstar Lottery PLC,N/A,Brightstar Lottery PLC,N/A,,BRSL,KY,EC,CORP
Codere Online Luxembourg SA,N/A,Codere Online Luxembourg SA,N/A,,CDRO,LU,EC,CORP
Flutter Entertainment PLC,N/A,Flutter Entertainment PLC,N/A,,FLUT,IE,EC,CORP
Gambling.com Group Ltd,N/A,Gambling.com Group Ltd,N/A,,GAMB,US,EC,CORP
Genius Sports Ltd,N/A,Genius Sports Ltd,N/A,,GENI,US,EC,CORP
Paysafe Ltd,N/A,Paysafe Ltd,N/A,,PSFE,US,EC,CORP
Super Group SGHC Ltd,N/A,Super Group SGHC Ltd,N/A,,SGHC,US,EC,CORP
Sportradar Group AG,N/A,Sportradar Group AG,N/A,,SRAD,US,EC,CORP
