holdingId,name,lei,title,cusip,isin,ticker,balance,units,curCd,valUSD,pctVal,payoffProfile,assetCat,issuerCat,invCountry,isRestrictedSec,fairValLevel,isCashCollateral,isNonCashCollateral,isLoanByFund
ACTG,Acacia Research Corp,529900BCN7BE6ESPDZ72,Acacia Research Corp,003881307,US0038813079,ACTG,3432,NS,USD,16267.68,1.11,Long,EC,CORP,US,N,1,N,N,N
ADEA,Adeia Inc,N/A,Adeia Inc,00676P107,US00676P1075,ADEA,1580,NS,USD,50259.8,3.42,Long,EC,CORP,US,N,1,N,N,N
ARM,ARM Holdings PLC,2138001E66EELTE7Y904,ARM Holdings PLC,042068205,US0420682058,ARM,286,NS,USD,116607.92,7.92,Long,EC,CORP,GB,N,1,N,N,N
CDNS,Cadence Design Systems Inc,GCT7RXJOGLXPV0NXZY22,Cadence Design Systems Inc,127387108,US1273871087,CDNS,198,NS,USD,77029.92,5.24,Long,EC,CORP,US,N,1,N,N,N
CEVA,CEVA Inc,529900G9T7CVU2J2VU73,CEVA Inc,157210105,US1572101053,CEVA,660,NS,USD,31950.6,2.17,Long,EC,CORP,US,N,1,N,N,N
DIS,Walt Disney Co/The,549300GZKULIZ0WOW665,Walt Disney Co/The,254687106,US2546871060,DIS,660,NS,USD,67617,4.60,Long,EC,CORP,US,N,1,N,N,N
DLB,Dolby Laboratories Inc,549300X04FB2QPCJ5J24,Dolby Laboratories Inc,25659T107,US25659T1079,DLB,451,NS,USD,23641.42,1.61,Long,EC,CORP,US,N,1,N,N,N
DPZ,Domino's Pizza Inc,25490005ZWM1IF9UXU57,Domino's Pizza Inc,25754A201,US25754A2015,DPZ,110,NS,USD,32462.1,2.21,Long,EC,CORP,US,N,1,N,N,N
FGXXX,First American Government Obli,549300R5MYM6VZF1RM44,First American Government Obligations Fund,31846V336,US31846V3362,FGXXX,29296.41,NS,USD,29296.41,1.99,Long,STIV,RF,US,N,1,N,N,N
FWONK,Liberty Media Corp-Liberty For,N/A,Liberty Media Corp-Liberty Formula One,531229755,US5312297550,FWONK,550,NS,USD,49142.5,3.34,Long,EC,CORP,US,N,1,N,N,N
HAS,Hasbro Inc,549300NUB6D2R1ITYR45,Hasbro Inc,418056107,US4180561072,HAS,451,NS,USD,38059.89,2.59,Long,EC,CORP,US,N,1,N,N,N
IBM,International Business Machine,VGRQXHF3J8VDLUA7XE92,International Business Machines Corp,459200101,US4592001014,IBM,286,NS,USD,72134.92,4.90,Long,EC,CORP,US,N,1,N,N,N
IDCC,InterDigital Inc,N/A,InterDigital Inc,45867G101,US45867G1013,IDCC,99,NS,USD,29486.16,2.00,Long,EC,CORP,US,N,1,N,N,N
LGND,Ligand Pharmaceuticals Inc,5493008K7TB0IKP37H79,Ligand Pharmaceuticals Inc,53220K504,US53220K5048,LGND,132,NS,USD,34606.44,2.35,Long,EC,CORP,US,N,1,N,N,N
MAT,Mattel Inc,549300VELLG24KHTJ564,Mattel Inc,577081102,US5770811025,MAT,2101,NS,USD,29182.89,1.98,Long,EC,CORP,US,N,1,N,N,N
MCD,McDonald's Corp,UE2136O97NLB5BYP9H04,McDonald's Corp,580135101,US5801351017,MCD,396,NS,USD,106959.6,7.27,Long,EC,CORP,US,N,1,N,N,N
NFLX,Netflix Inc,549300Y7VHGU0I7CE873,Netflix Inc,64110L106,US64110L1061,NFLX,1090,NS,USD,79439.2,5.40,Long,EC,CORP,US,N,1,N,N,N
NOK,Nokia Oyj,549300A0JPRWG1KI7U06,Nokia Oyj,654902204,US6549022043,NOK,2951,NS,USD,42582.93,2.89,Long,EC,CORP,FI,N,1,N,N,N
QCOM,QUALCOMM Inc,H1J8DDZKZP6H7RWC0H53,QUALCOMM Inc,747525103,US7475251036,QCOM,505,NS,USD,112059.5,7.62,Long,EC,CORP,US,N,1,N,N,N
RMBS,Rambus Inc,2549000211GDCQSLV833,Rambus Inc,750917106,US7509171069,RMBS,242,NS,USD,33964.7,2.31,Long,EC,CORP,US,N,1,N,N,N
RPRX,Royalty Pharma PLC,549300FGFN7VOK8BZR03,Royalty Pharma PLC,N/A,GB00BMVP7Y09,RPRX,979,NS,USD,52445.03,3.56,Long,EC,CORP,US,N,1,N,N,N
SNPS,Synopsys Inc,QG7T915N9S0NY5UKNE63,Synopsys Inc,871607107,US8716071076,SNPS,132,NS,USD,61324.56,4.17,Long,EC,CORP,US,N,1,N,N,N
SVCO,Silvaco Group Inc,89450009UUSWTJL6DP68,Silvaco Group Inc,82728C102,US82728C1027,SVCO,1502,NS,USD,19826.4,1.35,Long,EC,CORP,US,N,1,N,N,N
TKO,TKO Group Holdings Inc,N/A,TKO Group Holdings Inc,87256C101,US87256C1018,TKO,231,NS,USD,45567.06,3.10,Long,EC,CORP,US,N,1,N,N,N
TTWO,Take-Two Interactive Software ,BOMSTHHJK882EWYX3334,Take-Two Interactive Software Inc,874054109,US8740541094,TTWO,76,NS,USD,18207.32,1.24,Long,EC,CORP,US,N,1,N,N,N
VRSN,VeriSign Inc,LMPL4N8ZOJRMF0KOF759,VeriSign Inc,92343E102,US92343E1029,VRSN,187,NS,USD,46318.03,3.15,Long,EC,CORP,US,N,1,N,N,N
