holdingId,name,lei,title,cusip,isin,ticker,balance,units,curCd,valUSD,pctVal,payoffProfile,assetCat,issuerCat,invCountry,isRestrictedSec,fairValLevel,isCashCollateral,isNonCashCollateral,isLoanByFund
ABAT,American Battery Technology Co,529900JBJ8D85CDPHQ69,American Battery Technology Co,02451V309,US02451V3096,ABAT,19616,NS,USD,57474.88,2.54,Long,EC,CORP,US,N,1,N,N,N
AES,AES Corp/The,2NUNNB7D43COUIRE5295,AES Corp/The,00130H105,US00130H1059,AES,4448,NS,USD,65163.2,2.88,Long,EC,CORP,US,N,1,N,N,N
ALB,Albemarle Corp,HDBLS2Q6GV1LSKQPBS54,Albemarle Corp,012653101,US0126531013,ALB,496,NS,USD,77718.24,3.43,Long,EC,CORP,US,N,1,N,N,N
AMPX,Amprius Technologies Inc,N/A,Amprius Technologies Inc,03214Q108,US03214Q1085,AMPX,4208,NS,USD,65855.2,2.91,Long,EC,CORP,US,N,1,N,N,N
AMSC,American Superconductor Corp,549300S9YT8Z8LOK4452,American Superconductor Corp,030111207,US0301112076,AMSC,576,NS,USD,26107.2,1.15,Long,EC,CORP,US,N,1,N,N,N
ATKR,Atkore Inc,52990002TI38AM4RPV48,Atkore Inc,047649108,US0476491081,ATKR,416,NS,USD,34091.2,1.51,Long,EC,CORP,US,N,1,N,N,N
BE,Bloom Energy Corp,549300XB5J9BFW5JXV97,Bloom Energy Corp,093712107,US0937121079,BE,704,NS,USD,243478.4,10.75,Long,EC,CORP,US,N,1,N,N,N
ENPH,Enphase Energy Inc,5493008U7KIGMI59Z314,Enphase Energy Inc,29355A107,US29355A1079,ENPH,2928,NS,USD,153456.48,6.78,Long,EC,CORP,US,N,1,N,N,N
ENS,EnerSys,7ZS3DE5PN30BYUJFWP05,EnerSys,29275Y102,US29275Y1029,ENS,496,NS,USD,115538.24,5.10,Long,EC,CORP,US,N,1,N,N,N
ENVX,Enovix Corp,549300EC7NZGWORHYJ53,Enovix Corp,293594107,US2935941078,ENVX,11872,NS,USD,83697.6,3.70,Long,EC,CORP,US,N,1,N,N,N
EOSE,Eos Energy Enterprises Inc,529900UCCJMLRGDXVT41,Eos Energy Enterprises Inc,29415C101,US29415C1018,EOSE,12128,NS,USD,89019.52,3.93,Long,EC,CORP,US,N,1,N,N,N
FGXXX,First American Government Obli,549300R5MYM6VZF1RM44,First American Government Obligations Fund,31846V336,US31846V3362,FGXXX,31584.48,NS,USD,31584.48,1.40,Long,STIV,RF,US,N,1,N,N,N
FLNC,Fluence Energy Inc,25490043LHZ97BT5PP29,Fluence Energy Inc,34379V103,US34379V1035,FLNC,5984,NS,USD,150736.96,6.66,Long,EC,CORP,US,N,1,N,N,N
GNRC,Generac Holdings Inc,529900S2H2AHJHSFFI84,Generac Holdings Inc,368736104,US3687361044,GNRC,304,NS,USD,89844.16,3.97,Long,EC,CORP,US,N,1,N,N,N
MVST,Microvast Holdings Inc,549300J4UX9OMHSTKS35,Microvast Holdings Inc,59516C106,US59516C1062,MVST,33904,NS,USD,42719.04,1.89,Long,EC,CORP,US,N,1,N,N,N
NRGV,Energy Vault Holdings Inc,254900VMTXIU80WPJR14,Energy Vault Holdings Inc,29280W109,US29280W1099,NRGV,16688,NS,USD,73760.96,3.26,Long,EC,CORP,US,N,1,N,N,N
RUN,Sunrun Inc,54930007SJ77CI66U531,Sunrun Inc,86771W105,US86771W1053,RUN,8128,NS,USD,110703.36,4.89,Long,EC,CORP,US,N,1,N,N,N
SEDG,SolarEdge Technologies Inc,5493000K6Y58XXPDF853,SolarEdge Technologies Inc,83417M104,US83417M1045,SEDG,2352,NS,USD,135357.6,5.98,Long,EC,CORP,IL,N,1,N,N,N
SES,SES AI Corp,529900HSCKUBL8K4K759,SES AI Corp,78397Q109,US78397Q1094,SES,50928,NS,USD,53474.4,2.36,Long,EC,CORP,US,N,1,N,N,N
SLDP,Solid Power Inc,5299001ZPFRA2QBIQK79,Solid Power Inc,83422N105,US83422N1054,SLDP,19904,NS,USD,55731.2,2.46,Long,EC,CORP,US,N,1,N,N,N
SQM,Sociedad Quimica y Minera de C,TJ88LXZZW5PWIN93ZC81,Sociedad Quimica y Minera de Chile SA,833635105,US8336351056,SQM,976,NS,USD,76762.4,3.39,Long,EC,CORP,CL,N,1,N,N,N
STEM,Stem Inc,549300GVWIYFILN5V546,Stem Inc,85859N300,US85859N3008,STEM,4640,NS,USD,37398.4,1.65,Long,EC,CORP,US,N,1,N,N,N
TE,T1 Energy Inc,529900H0645VFXNMJ693,T1 Energy Inc,35834F104,US35834F1049,TE,3648,NS,USD,37939.2,1.68,Long,EC,CORP,US,N,1,N,N,N
TSLA,Tesla Inc,54930043XZGB27CTOV49,Tesla Inc,88160R101,US88160R1014,TSLA,880,NS,USD,356444,15.74,Long,EC,CORP,US,N,1,N,N,N
