name,lei,title,cusip,isin,ticker,invCountry,assetCat,issuerCat
Airbnb Inc,549300HMUDNO0RY56D37,Airbnb Inc,009066101,US0090661010,ABNB,US,EC,CORP
Alaska Air Group Inc,N/A,Alaska Air Group Inc,011659109,,ALK,US,EC,CORP
Allegiant Travel Co,N/A,Allegiant Travel Co,01748X102,,ALGT,US,EC,CORP
American Airlines Group Inc,N/A,American Airlines Group Inc,02376R102,,AAL,US,EC,CORP
American Express Co,N/A,American Express Co,025816109,,AXP,US,EC,CORP
Avis Budget Group Inc,N/A,Avis Budget Group Inc,053774105,,CAR,US,EC,CORP
Booking Holdings Inc,N/A,Booking Holdings Inc,09857L108,,BKNG,US,EC,CORP
Caesars Entertainment Inc,N/A,Caesars Entertainment Inc,12769G100,,CZR,US,EC,CORP
Choice Hotels International In,N/A,Choice Hotels International Inc,169905106,,CHH,US,EC,CORP
Controladora Vuela Cia de Avia,N/A,Controladora Vuela Cia de Aviacion SAB de CV,2.12E+109,,VLRS,US,EC,CORP
Delta Air Lines Inc,N/A,Delta Air Lines Inc,247361702,,DAL,US,EC,CORP
DiamondRock Hospitality Co,N/A,DiamondRock Hospitality Co,252784301,,DRH,US,EC,CORP
Walt Disney Co/The,N/A,Walt Disney Co/The,254687106,,DIS,US,EC,CORP
Expedia Group Inc,N/A,Expedia Group Inc,30212P303,,EXPE,US,EC,CORP
Flywire Corp,N/A,Flywire Corp,302492103,,FLYW,US,EC,CORP
First American Government Obli,549300R5MYM6VZF1RM44,First American Government Obligations Fund,31846V336,US31846V3362,FGXXX,US,STIV,RF
Global Business Travel Group I,N/A,Global Business Travel Group I,37890B100,,GBTG,US,EC,CORP
Grupo Aeroportuario del Pacifi,N/A,Grupo Aeroportuario del Pacifico SAB de CV,400506101,,PAC,US,EC,CORP
Grupo Aeroportuario del Surest,N/A,Grupo Aeroportuario del Sureste SAB de CV,40051E202,,ASR,US,EC,CORP
Hertz Global Holdings Inc,N/A,Hertz Global Holdings Inc,42806J700,,HTZ,US,EC,CORP
Hilton Grand Vacations Inc,N/A,Hilton Grand Vacations Inc,43283X105,,HGV,US,EC,CORP
Hilton Worldwide Holdings Inc,N/A,Hilton Worldwide Holdings Inc,43300A203,,HLT,US,EC,CORP
Host Hotels & Resorts Inc,N/A,Host Hotels & Resorts Inc,44107P104,,HST,US,EC,CORP
H World Group Ltd,N/A,H World Group Ltd,44332N106,,HTHT,US,EC,CORP
Hyatt Hotels Corp,N/A,Hyatt Hotels Corp,448579102,,H,US,EC,CORP
InterContinental Hotels Group ,N/A,InterContinental Hotels Group PLC,45857P806,,IHG,US,EC,CORP
JetBlue Airways Corp,N/A,JetBlue Airways Corp,477143101,,JBLU,US,EC,CORP
Las Vegas Sands Corp,N/A,Las Vegas Sands Corp,517834107,,LVS,US,EC,CORP
Lindblad Expeditions Holdings ,N/A,Lindblad Expeditions Holdings Inc,535219109,,LIND,US,EC,CORP
Live Nation Entertainment Inc,N/A,Live Nation Entertainment Inc,538034109,,LYV,US,EC,CORP
