holdingId,name,lei,title,cusip,isin,ticker,balance,units,curCd,valUSD,pctVal,payoffProfile,assetCat,issuerCat,invCountry,isRestrictedSec,fairValLevel,isCashCollateral,isNonCashCollateral,isLoanByFund
AKAM,Akamai Technologies Inc,OC1LZNN2LF5WTJ5RIL89,Akamai Technologies Inc,00971T101,US00971T1016,AKAM,1008,NS,USD,121705.92,4.74,Long,EC,CORP,US,N,1,N,N,N
ARQQ,Arqit Quantum Inc,254900G93Z1SN49J9J68,Arqit Quantum Inc,N/A,KYG0567U1278,ARQQ,1712,NS,USD,36671.04,1.43,Long,EC,CORP,GB,N,1,N,N,N
ATEN,A10 Networks Inc,549300UQD4IWUML81Q35,A10 Networks Inc,002121101,US0021211018,ATEN,1824,NS,USD,61596.48,2.40,Long,EC,CORP,US,N,1,N,N,N
CACI,CACI International Inc,SYRPI2D1O9WRTS2WX210,CACI International Inc,127190304,US1271903049,CACI,192,NS,USD,86346.24,3.36,Long,EC,CORP,US,N,1,N,N,N
CHKP,Check Point Software Technolog,2549003ZVBH73EPNS513,Check Point Software Technologies Ltd,N/A,IL0010824113,CHKP,672,NS,USD,80841.6,3.15,Long,EC,CORP,IL,N,1,N,N,N
CRWD,Crowdstrike Holdings Inc,549300YBY08K9KM4HX32,Crowdstrike Holdings Inc,22788C105,US22788C1053,CRWD,416,NS,USD,280983.04,10.93,Long,EC,CORP,US,N,1,N,N,N
DDOG,Datadog Inc,549300F6JNO0KRPO1K63,Datadog Inc,23804L103,US23804L1035,DDOG,768,NS,USD,170012.16,6.61,Long,EC,CORP,US,N,1,N,N,N
ESTC,Elastic NV,2549003I48WHHH937I59,Elastic NV,N/A,NL0013056914,ESTC,1504,NS,USD,88329.92,3.44,Long,EC,CORP,US,N,1,N,N,N
FFIV,F5 Inc,54930015FPK9KT966303,F5 Inc,315616102,US3156161024,FFIV,320,NS,USD,125206.4,4.87,Long,EC,CORP,US,N,1,N,N,N
FGXXX,First American Government Obli,549300R5MYM6VZF1RM44,First American Government Obligations Fund,31846V336,US31846V3362,FGXXX,31822.88,NS,USD,31822.88,1.24,Long,STIV,RF,US,N,1,N,N,N
FTNT,Fortinet Inc,549300O0QJWDBAS0QX03,Fortinet Inc,34959E109,US34959E1091,FTNT,1152,NS,USD,167489.28,6.52,Long,EC,CORP,US,N,1,N,N,N
GEN,GEN DIGITAL INC,YF6ZV0M6AU4FY94MK914,GEN DIGITAL INC,668771108,US6687711084,GEN,4544,NS,USD,104557.44,4.07,Long,EC,CORP,US,N,1,N,N,N
NET,Cloudflare Inc,5493007DY18BGNLDWU14,Cloudflare Inc,18915M107,US18915M1071,NET,480,NS,USD,104822.4,4.08,Long,EC,CORP,US,N,1,N,N,N
NTSK,Netskope Inc,254900CS525VJG6KO570,Netskope Inc,64119N608,US64119N6085,NTSK,2272,NS,USD,20334.4,0.79,Long,EC,CORP,US,N,1,N,N,N
OKTA,Okta Inc,549300N8J06I8MRHU620,Okta Inc,679295105,US6792951054,OKTA,1264,NS,USD,146548.16,5.70,Long,EC,CORP,US,N,1,N,N,N
OSPN,OneSpan Inc,984500E502E6DC354D26,OneSpan Inc,68287N100,US68287N1000,OSPN,2896,NS,USD,38574.72,1.50,Long,EC,CORP,US,N,1,N,N,N
PANW,Palo Alto Networks Inc,549300QXR2YVZV231H43,Palo Alto Networks Inc,697435105,US6974351057,PANW,1184,NS,USD,339097.6,13.19,Long,EC,CORP,US,N,1,N,N,N
QLYS,Qualys Inc,549300EMBXYOW9W1XA17,Qualys Inc,74758T303,US74758T3032,QLYS,720,NS,USD,78127.2,3.04,Long,EC,CORP,US,N,1,N,N,N
RBRK,Rubrik Inc,254900TRGK2WTBYMYU27,Rubrik Inc,781154109,US7811541090,RBRK,1504,NS,USD,106077.12,4.13,Long,EC,CORP,US,N,1,N,N,N
RDWR,Radware Ltd,254900LYRZOTBQ99ZG59,Radware Ltd,N/A,IL0010834765,RDWR,1568,NS,USD,43355.2,1.69,Long,EC,CORP,IL,N,1,N,N,N
RPD,Rapid7 Inc,549300GNVG5D60KEYN14,Rapid7 Inc,753422104,US7534221046,RPD,5120,NS,USD,32460.8,1.26,Long,EC,CORP,US,N,1,N,N,N
SAIL,SailPoint Inc,529900IRT8OM8CEOPC03,SailPoint Inc,78781J109,US78781J1097,SAIL,3520,NS,USD,44457.6,1.73,Long,EC,CORP,US,N,1,N,N,N
TENB,Tenable Holdings Inc,5493004S5OMPESF0EF83,Tenable Holdings Inc,88025T102,US88025T1025,TENB,2640,NS,USD,69537.6,2.71,Long,EC,CORP,US,N,1,N,N,N
TLS,Telos Corp,N/A,Telos Corp,87969B101,US87969B1017,TLS,6656,NS,USD,28554.24,1.11,Long,EC,CORP,US,N,1,N,N,N
VRNS,Varonis Systems Inc,549300SHIVNRRH7STS26,Varonis Systems Inc,922280102,US9222801022,VRNS,2320,NS,USD,75887.2,2.95,Long,EC,CORP,US,N,1,N,N,N
ZS,Zscaler Inc,529900MZ0RTK1BWRNF46,Zscaler Inc,98980G102,US98980G1022,ZS,704,NS,USD,87338.24,3.40,Long,EC,CORP,US,N,1,N,N,N
