holdingId,name,lei,title,cusip,isin,ticker,balance,units,curCd,valUSD,pctVal,payoffProfile,assetCat,issuerCat,invCountry,isRestrictedSec,fairValLevel,isCashCollateral,isNonCashCollateral,isLoanByFund
ADUS,Addus HomeCare Corp,52990090ZT33AKPDBX62,Addus HomeCare Corp,006739106,US0067391062,ADUS,121,NS,USD,11498.63,0.76,Long,EC,CORP,US,N,1,N,N,N
AHR,American Healthcare REIT Inc,2549004GGE2APGNT6O92,American Healthcare REIT Inc,398182303,US3981823038,AHR,462,NS,USD,21787.92,1.45,Long,EC,CORP,US,N,1,N,N,N
ALC,Alcon AG,549300LDT5AP8S0NBM78,Alcon AG,N/A,CH0432492467,ALC,561,NS,USD,36565.98,2.43,Long,EC,CORP,CH,N,1,N,N,N
BC,Brunswick Corp/DE,YM4O38W15AX4YLLQKU27,Brunswick Corp/DE,117043109,US1170431092,BC,220,NS,USD,17934.4,1.19,Long,EC,CORP,US,N,1,N,N,N
BKD,Brookdale Senior Living Inc,LH7MQB13NWY7CJ9VC445,Brookdale Senior Living Inc,112463104,US1124631045,BKD,1078,NS,USD,15081.22,1.00,Long,EC,CORP,US,N,1,N,N,N
BKNG,Booking Holdings Inc,FXM8FAOHMYDIPD38UZ17,Booking Holdings Inc,09857L108,US09857L1089,BKNG,374,NS,USD,62745.98,4.17,Long,EC,CORP,US,N,1,N,N,N
BTSG,BrightSpring Health Services I,N/A,BrightSpring Health Services Inc,10950A106,US10950A1060,BTSG,418,NS,USD,28089.6,1.87,Long,EC,CORP,US,N,1,N,N,N
CALY,Callaway Golf Co,5493005UB0KFRKBPCU72,Callaway Golf Co,131193104,US1311931042,CALY,792,NS,USD,14271.84,0.95,Long,EC,CORP,US,N,1,N,N,N
CCL,Carnival Corp Ltd,F1OF2ZSX47CR0BCWA982,Carnival Corp Ltd,N/A,BMG2004J1036,CCL,1419,NS,USD,42839.61,2.85,Long,EC,CORP,US,N,1,N,N,N
COO,Cooper Cos Inc/The,QJKMVPIGLH7530PCUE20,Cooper Cos Inc/The,216648501,US2166485019,COO,429,NS,USD,28065.18,1.86,Long,EC,CORP,US,N,1,N,N,N
DAL,Delta Air Lines Inc,Q2CCMS6R0AS67HJMBN42,Delta Air Lines Inc,247361702,US2473617023,DAL,660,NS,USD,56707.2,3.77,Long,EC,CORP,US,N,1,N,N,N
DVA,DAVITA INC,M2XHYMU3TZNEZURC6H66,DAVITA INC,23918K108,US23918K1088,DVA,121,NS,USD,25371.28,1.69,Long,EC,CORP,US,N,1,N,N,N
EHC,ENCOMPASS HEALTH CORP,549300FVRPM9DRQZRG64,ENCOMPASS HEALTH CORP,29261A100,US29261A1007,EHC,231,NS,USD,22795.08,1.51,Long,EC,CORP,US,N,1,N,N,N
ENSG,Ensign Group Inc/The,5493003K4HEEA8Q0BC72,Ensign Group Inc/The,29358P101,US29358P1012,ENSG,132,NS,USD,20694.96,1.37,Long,EC,CORP,US,N,1,N,N,N
EYE,National Vision Holdings Inc,549300JHURCBLI5ROA42,National Vision Holdings Inc,63845R107,US63845R1077,EYE,517,NS,USD,8768.32,0.58,Long,EC,CORP,US,N,1,N,N,N
FGXXX,First American Government Obli,549300R5MYM6VZF1RM44,First American Government Obligations Fund,31846V336,US31846V3362,FGXXX,44814.82,NS,USD,44814.82,2.98,Long,STIV,RF,US,N,1,N,N,N
GOLF,Acushnet Holdings Corp,529900W5FI106H543E43,Acushnet Holdings Corp,005098108,US0050981085,GOLF,132,NS,USD,14135.88,0.94,Long,EC,CORP,US,N,1,N,N,N
HGV,Hilton Grand Vacations Inc,549300O9K6MFD8D07574,Hilton Grand Vacations Inc,43283X105,US43283X1054,HGV,286,NS,USD,14894.88,0.99,Long,EC,CORP,US,N,1,N,N,N
HIMS,Hims & Hers Health Inc,254900V041EIVTSB6D58,Hims & Hers Health Inc,433000106,US4330001060,HIMS,550,NS,USD,18447,1.23,Long,EC,CORP,US,N,1,N,N,N
HLT,Hilton Worldwide Holdings Inc,549300HVGPK36ICB0B89,Hilton Worldwide Holdings Inc,43300A203,US43300A2033,HLT,165,NS,USD,56583.45,3.76,Long,EC,CORP,US,N,1,N,N,N
HUM,Humana Inc,529900YLDW34GJAO4J06,Humana Inc,444859102,US4448591028,HUM,154,NS,USD,55550.88,3.69,Long,EC,CORP,US,N,1,N,N,N
LIND,Lindblad Expeditions Holdings ,549300GSPW24GZE6R597,Lindblad Expeditions Holdings Inc,535219109,US5352191093,LIND,462,NS,USD,11804.1,0.78,Long,EC,CORP,US,N,1,N,N,N
LLY,Eli Lilly & Co,FRDRIPF3EKNDJ2CQJL29,Eli Lilly & Co,532457108,US5324571083,LLY,176,NS,USD,193966.08,12.89,Long,EC,CORP,US,N,1,N,N,N
LTC,LTC Properties Inc,549300NRZP8IJG2KY677,LTC Properties Inc,502175102,US5021751020,LTC,308,NS,USD,11245.08,0.75,Long,EC,CORP,US,N,1,N,N,N
LTH,Life Time Group Holdings Inc,N/A,Life Time Group Holdings Inc,53190C102,US53190C1027,LTH,583,NS,USD,21763.39,1.45,Long,EC,CORP,US,N,1,N,N,N
LUV,Southwest Airlines Co,UDTZ87G0STFETI6HGH41,Southwest Airlines Co,844741108,US8447411088,LUV,792,NS,USD,38467.44,2.56,Long,EC,CORP,US,N,1,N,N,N
MAR,Marriott International Inc/MD,225YDZ14ZO8E1TXUSU86,Marriott International Inc/MD,571903202,US5719032022,MAR,154,NS,USD,59165.26,3.93,Long,EC,CORP,US,N,1,N,N,N
MDLN,Medline Inc,984500FAN6J1P8566D43,Medline Inc,58507V107,US58507V1070,MDLN,451,NS,USD,15654.21,1.04,Long,EC,CORP,US,N,1,N,N,N
MDT,Medtronic PLC,549300GX3ZBSQWUXY261,Medtronic PLC,N/A,IE00BTN1Y115,MDT,814,NS,USD,64525.78,4.29,Long,EC,CORP,IE,N,1,N,N,N
NATR,Nature's Sunshine Products Inc,N/A,Nature's Sunshine Products Inc,639027101,US6390271012,NATR,209,NS,USD,4263.6,0.28,Long,EC,CORP,US,N,1,N,N,N
NCLH,Norwegian Cruise Line Holdings,N/A,Norwegian Cruise Line Holdings Ltd,N/A,BMG667211046,NCLH,1221,NS,USD,24468.84,1.63,Long,EC,CORP,US,N,1,N,N,N
NHC,National HealthCare Corp,254900PTS11LS1JS2752,National HealthCare Corp,635906100,US6359061008,NHC,66,NS,USD,13292.4,0.88,Long,EC,CORP,US,N,1,N,N,N
NHI,National Health Investors Inc,549300ZPKZIG6DKDEC02,National Health Investors Inc,63633D104,US63633D1046,NHI,209,NS,USD,14830.64,0.99,Long,EC,CORP,US,N,1,N,N,N
NVST,Envista Holdings Corp,549300BX623VURJZ5269,Envista Holdings Corp,29415F104,US29415F1049,NVST,616,NS,USD,15714.16,1.04,Long,EC,CORP,US,N,1,N,N,N
OHI,Omega Healthcare Investors Inc,549300OJ7ENK42CZ8E73,Omega Healthcare Investors Inc,681936100,US6819361006,OHI,583,NS,USD,26293.3,1.75,Long,EC,CORP,US,N,1,N,N,N
PNTG,Pennant Group Inc/The,5493007H2OYR6BYLDA64,Pennant Group Inc/The,70805E109,US70805E1091,PNTG,308,NS,USD,10358.04,0.69,Long,EC,CORP,US,N,1,N,N,N
PTON,Peloton Interactive Inc,5493002YS021166W0339,Peloton Interactive Inc,70614W100,US70614W1009,PTON,2222,NS,USD,12065.46,0.80,Long,EC,CORP,US,N,1,N,N,N
RCL,Royal Caribbean Cruises Ltd,K2NEH8QNVW44JIWK7Z55,Royal Caribbean Cruises Ltd,N/A,LR0008862868,RCL,198,NS,USD,61253.28,4.07,Long,EC,CORP,US,N,1,N,N,N
SCI,Service Corp International/US,549300RKVM2ME20JHZ15,Service Corp International/US,817565104,US8175651046,SCI,286,NS,USD,20923.76,1.39,Long,EC,CORP,US,N,1,N,N,N
SNDA,Sonida Senior Living Inc,254900YX6LQ8K1N8PZ90,Sonida Senior Living Inc,140475203,US1404752032,SNDA,242,NS,USD,8847.52,0.59,Long,EC,CORP,US,N,1,N,N,N
TDOC,Teladoc Health Inc,549300I2PVFBC9MFAC61,Teladoc Health Inc,87918A105,US87918A1051,TDOC,1562,NS,USD,11839.96,0.79,Long,EC,CORP,US,N,1,N,N,N
TNL,Travel + Leisure Co,T4VNTWMFQ7JQB65L7T35,Travel + Leisure Co,894164102,US8941641024,TNL,242,NS,USD,18077.4,1.20,Long,EC,CORP,US,N,1,N,N,N
UAL,United Airlines Holdings Inc,98450079DA0B78DD6764,United Airlines Holdings Inc,910047109,US9100471096,UAL,418,NS,USD,49608.24,3.30,Long,EC,CORP,US,N,1,N,N,N
VIK,Viking Holdings Ltd,52990032GOPN7BVQMN13,Viking Holdings Ltd,N/A,BMG93A5A1010,VIK,341,NS,USD,34117.05,2.27,Long,EC,CORP,BM,N,1,N,N,N
VKTX,Viking Therapeutics Inc,529900IVC72YPFA25M37,Viking Therapeutics Inc,92686J106,US92686J1060,VKTX,484,NS,USD,15667.08,1.04,Long,EC,CORP,US,N,1,N,N,N
VTR,Ventas Inc,ORQTRC074CWLT3DKHT41,Ventas Inc,92276F100,US92276F1003,VTR,517,NS,USD,42931.68,2.85,Long,EC,CORP,US,N,1,N,N,N
WELL,Welltower Inc,254900F33BIAR82QTA19,Welltower Inc,95040Q104,US95040Q1040,WELL,352,NS,USD,74430.4,4.95,Long,EC,CORP,US,N,1,N,N,N
XRAY,DENTSPLY SIRONA Inc,9NHEHR1SOZCYXDO8HO28,DENTSPLY SIRONA Inc,24906P109,US24906P1093,XRAY,1089,NS,USD,11053.35,0.73,Long,EC,CORP,US,N,1,N,N,N
